第一轮候选ID,第一轮层级,建议梯度,入选理由,风险提示,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R1GROUP-2f8c3cf042c032ce,C3-优先城市高冲暂缓,高冲暂缓,命中偏好专业：计算机相关2个；命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F007,北京石油化工学院,F00703,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,2,0,2,0,0,0,0,9,V1-偏好专业优先线索,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,53,45,93,left,1.04 化学工程与工艺（卓越工程师班；第三学年在房山校区就读，第三、四学年在天买校区就读）[M-f2ab537bae9ea1d2]；2.05 化学工程与工艺（第一二三学年 房出校区就读，第三、四学年在大兴校区就[M-212279f7983c4a78]；3.06 高分子材料与工程（第一、二学年在房山校区就读，第三、四学年在大兴校区[M-ab4158f003a44935]；4.07 机械工程（第一、二学年在房山校区就读，第三、四学年在大兴校区就读）就读，第三、四学年在大兴校区就读）三学年在房山校区就读，第三、四学年在大兴校区就读）[M-018002c0f8e98c5a]；5.10 气工程及基自动化（第一、二学年在房山校区就读，第三、四学年在大兴校[M-d8f3831dbb5a9a07]；6.11 能源与动力工程（卓越工程师班：第三学年在房山校区就读，第三、四学年在大兴校区就读）[M-1f42a0cb3ff9f028]；7.12 能源与动力工程（第一、二学年在房山校区就读，第三、四学年在大兴校区就[M-fd29a759088a23f3]；8.13 计算机科学与技术（卓越工程师班；第三学年在房山校区就读，第三、西学年在大兴校区就读）[M-add00ef9e8211567]；9.14 计算机科学与技术（第一、三学年在房山校区就读，第三、四学年在大兴校区F008 北京农学院（公办）（北京）[M-95e4a42e6f156af8],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-c826002c6359ab24,STABLEGROUP-ff322e9a3e0de7b1
R1GROUP-c3096c7d23f222b8,C3-优先城市高冲暂缓,高冲暂缓,命中偏好专业：计算机相关1个；命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F013,北京物资学院,F01304,04,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,54,34,93,right,1.07 数据科学与大数据技术[M-3e34e2c2f9f29aa8],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-56ad8534bd076a94,STABLEGROUP-4afbd57ec2b546c5
R1GROUP-5e49315f68c61e56,C3-优先城市高冲暂缓,高冲暂缓,命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F007,北京石油化工学院,F00702,02,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,0,0,0,0,0,0,0,1,V3-历史线索普通留存,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,56,45,92,right,1.03 智能制造工程技术（第一、二学年在房证校区就读，第三、四学年在大兴校区就读）院校孝业组及要业代号[M-0d11c522f3178a12],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-1fc9950f61b69b4b,STABLEGROUP-eb040be12342b220
R1GROUP-d721692c7f7f27f6,C3-优先城市高冲暂缓,高冲暂缓,命中偏好专业：计算机相关5个；命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F005,北京印刷学院,F00503,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,5,0,5,0,0,0,3,13,V1-偏好专业优先线索,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,57,41,92,right,1.06 印刷工程（不招色育、色弱）[M-c2378f968cf10825]；2.07 包装工程（智能包装；不招色盲、色弱）[M-01f3314772daf19b]；3.08 柔性电子学[M-f0be3bd44a01587c]；4.09 印刷工程（毕昇卓越班；不招色盲、色[M-6ddf2d9f52a642c9]；5.10 机械工程（卓越工程师计划）[M-e77e19de4f8b9296]；6.12 智能制造工程[M-3bc7fb62b5e7026a]；7.13 机械工程（机器人实验班）[M-c00c83b319858de5]；8.14 自动化（机器人实验班）[M-5c8c239db449e64d]；9.15 计算机科学与技术[M-cc99837c89d76dc5]；10.16 信息安全（数字版权保护）[M-bfa2d6a5b5cd02fc]；11.17 智能科学与技术[M-4a7ac629eb6f575e]；12.18 计算机科学与技术（AI 创实验班）[M-ecb4b72722266cc4]；13.19 智能科学与技术（灵创实验班）F006 北京建筑大学（公办）（北京）[M-f843ae83067ff3b5],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-dc3570f324bd75d1,STABLEGROUP-d969a7c298f4326f
R1GROUP-0b4312863b99de96,C3-优先城市高冲暂缓,高冲暂缓,命中偏好专业：计算机相关1个；命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F005,北京印刷学院,F00502,02,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,66,43,92,right,1.05 大数据管理与应用（办学地点：西校[M-5e26339eba1db213],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-8e19849d3cf8c20a,STABLEGROUP-cedea596a21bebc9
R1GROUP-59e251501afa63be,C3-优先城市高冲暂缓,高冲暂缓,命中偏好专业：计算机相关1个；命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F013,北京物资学院,F01305,05,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,2,V1-偏好专业优先线索,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,74,61,93,right,1.08 物联网工程[M-29e6bc3f2ca27d4d]；2.09 应用统计学[M-0a6d8f981b4be5d5],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-0f2403462bdc99f7,STABLEGROUP-fbc353cbc33a64a8
R1GROUP-77674c1cd7778d53,C3-优先城市高冲暂缓,高冲暂缓,命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A010,北京化工大学,A01008,08,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,0,0,0,0,0,0,1,1,V3-历史线索普通留存,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,1,82,82,14,left,1.30 本科预科班（少数民族预科班：行政管理；办学地点：昌平校区：学制：一年）[M-0dbcfcfc583a7104],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-6e152bd5ce409915,STABLEGROUP-4f9809621a9119b0
R1GROUP-404fde1e998bce76,C3-优先城市高冲暂缓,高冲暂缓,命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A043,北京体育大学,A04308,08,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,0,0,0,0,0,0,1,2,V3-历史线索普通留存,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,82,56,19,left,1.13 体育经济与管理（不能准确识别红，兰、紫各种颜色中任何一种颜色的导线、按键、信号灯、几何图形者，不予录取）[M-62cfa504d73d595d]；2.14 公共事业管理（不能准确识别红、黄、紫各种颜色中任何一种颜色的导线、按链、信号灯、几何图形者，[M-6a4295a5f7df699d],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-ae476689bf9ce3cd,STABLEGROUP-20c294603850dd3b
R1GROUP-c6edf1e12c2bfc4b,C3-优先城市高冲暂缓,高冲暂缓,命中偏好专业：计算机相关1个；命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F020,北京联合大学,F02002,02,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,2,V1-偏好专业优先线索,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,88,81,94,left,1.02 通信工程（办学地点：北四环校区）[M-ece9d4a7c5eef2c9]；2.03 物联网工程（办学地点：北四环校区）F054 北京城市学院（民办）（北京）[M-6e1b069a6e23f585],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-932fc8bc1c4d59bc,STABLEGROUP-5d27ea7331a02e93
R1GROUP-b7f4c57449c6917d,C3-优先城市高冲暂缓,高冲暂缓,命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A022,北京林业大学,A02212,12,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,0,0,0,0,0,0,0,1,V3-历史线索普通留存,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,2,91,85,16,right,1.44 园林（一、年级起在雄安校区培养）[M-f598329765da975d],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-a4b5e2ab8c0921c5,STABLEGROUP-808a27646b873003
R1GROUP-789f9fa2fa4be534,C3-优先城市高冲暂缓,高冲暂缓,命中偏好专业：计算机相关2个；命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F019,北京信息科技大学,F01902,02,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,2,0,2,0,0,0,0,8,V1-偏好专业优先线索,R1-P0整组先核,H5-历史最高线高于等位分30分以上,1,93,93,94,left,1.03 机械设计制造及其自动化（办学地点：[M-2048ad633c4c2afc]；2.04 智能制造工程（办学地点：沙河校区）[M-6d84761a5c90e259]；3.05 测控技术与仪器（办学地点：沙河校[M-09faab3eb3927dd4]；4.06 入工智能（勤信实验班；办学地点：沙河校区）[M-7e8ff9f8ac6d8e9d]；5.07 电子信息工程（办学地点：沙河校区）[M-44b07abc0135a45a]；6.08 过算机科学与技术（办学地点：沙河校[M-2cb09f7f70f19180]；7.09 计算机科学与技术（勤信实验班；办学地点：沙河校区）[M-711d0ff6c94fc522]；8.10 信息安全（办学地点：沙河校区）工1应用统计学（办学地点：沙河校区）F020 北京联合大学（公办）（北京）[M-034b1847096ec1d1],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-1b83efe8b97d5110,STABLEGROUP-3d8f6270e4a08a73
R1GROUP-e5300b443d14d22c,C3-优先城市高冲暂缓,高冲暂缓,命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A022,北京林业大学,A02213,13,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,0,0,0,0,0,0,0,1,V3-历史线索普通留存,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,2,94,90,16,right,1.45 地理信息科学（一）培养，三年级起在雄安校区培养）[M-0e54d4e9d79d62d6],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-1cf3bee856d11b9c,STABLEGROUP-8610a7553fdbfaad
R1GROUP-bd9a4e240c148b9f,C3-优先城市高冲暂缓,高冲暂缓,命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A054,华北电力大学（北京）,A05405,05,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,暂不判断-组内结构异常需先核页,0,0,0,0,0,0,0,9,V3-历史线索普通留存,R1-P0整组先核,H5-历史最高线高于等位分30分以上,1,95,95,20,left,1.22 氢能科学与工程（办学地点：北京校[M-e92cf7aafd2bb062]；2.23 能源与动力工程（办学地点：北京校部）[M-97d2eb10578a06fc]；3.24 材料科学与工程（办学地点：北京校[M-de93821e8b349253]；4.25 能源动力类（新能源：新能源科学与工程、新能源材料与器件；办学地点：北京校部）[M-802c6d07622d2449]；5.26 核工程与核技术（办学地点：北京校[M-0c4ae59b8d19ab3d]；6.27 碳储科学与工程（办学地点：北京校[M-662a73b02a3228cd]；7.28 水利水电工程（办学地点：北京校部）[M-834a0a717cc52c6c]；8.29 水利水电工程（工商双学士学位；办学地点：北京校部）[M-b654233d3c2b9617]；9.30 碳中和科学与工程（办学地点：北京校A055 南开大学（公办）（天津）[M-2cdaf3b0a3b6574c],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-58c91781682b5349,STABLEGROUP-93b8c8af8b975957
