第三轮候选ID,第三轮池,第三轮层级,第三轮建议梯度,专业角色判断,第三轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,15,29,生物医学工程（办学地点：青义校区）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-baa92fc58d301ed8,G-5664b48e93bace95
R3GROUP-a1ec57cc89784a40,低优先级专项,T1-医技康复低优先级了解,稳冲观察,字段缺口待核,,false,A207,北方民族大学,A20707,1,31,医学檢验技术（色弱、色盲不予录取，其他体检要求见学校 2026年章程）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,化学,,4800,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,9,58,left,M-33067007d1dc6d07,G-729b008cd6e93724
R3GROUP-a1ec57cc89784a40,低优先级专项,T1-医技康复低优先级了解,稳冲观察,专项了解-医技护理康复,医技护理康复,false,A207,北方民族大学,A20707,2,32,医学影像技术（色弱、色盲不予录取，其他体检要求见学校 2026年章程）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,3,4800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,9,58,left,M-2b93fd51f273ec6a,G-729b008cd6e93724
R3GROUP-a1ec57cc89784a40,低优先级专项,T1-医技康复低优先级了解,稳冲观察,字段缺口待核,,false,A207,北方民族大学,A20707,3,33,眼视光学（色弱、色盲不予录取，其他体检要求见学校 2026年章程）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,2,4800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,9,58,left,M-7ef653d7a6651651,G-729b008cd6e93724
R3GROUP-a98393aece65c42d,低优先级专项,T1-医技康复低优先级了解,稳冲观察,专项了解-医技护理康复,医技护理康复,false,K574,甘肃中医药大学,K57404,1,10,康复治疗学（不招色盲色弱考生；办学地点：和平校区）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,1,6200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,11,2,229,left,M-ae4fa7d51704c53f,G-db6ac62efb9c963e
R3GROUP-b06f139f0a7e9324,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,C138,湖北理工学院,C13806,1,32,监床医学（不招色盲、色弱、单色识别不全；学制：五年）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,130,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-12,79,left,M-e0776f4fa897d71f,G-da0d606ea3616eb1
R3GROUP-b06f139f0a7e9324,低优先级专项,T1-医技康复低优先级了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,C138,湖北理工学院,C13806,2,33,医学检验技术（不招色盲、色弱、单色识别不全）KAZGA院校专业及专业代号,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,26,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-12,79,left,M-776e0de825e7fa66,G-da0d606ea3616eb1
R3GROUP-b06f139f0a7e9324,低优先级专项,T1-医技康复低优先级了解,稳妥观察,调剂接受度待判断,,false,C138,湖北理工学院,C13806,3,34,药学（不招色盲、色弱、单色识别不全）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,化学,74,4000,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-12,79,right,M-56dac25e950124d8,G-da0d606ea3616eb1
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,H225,武夷学院,H22502,1,08,蒸学（农林类；专业体检要求详见学校,,暂缓判断-特殊限制待核,体检或色觉限制,,,5460,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-f8446afdc85b9d0e,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,H225,武夷学院,H22502,2,09,食品质量与安全,,待了解-未命中当前偏好方向,,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-ff809761fd63fc2e,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,H225,武夷学院,H22502,3,10,康复治疗学,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,,6240,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-7f7f8b5d3dc4158b,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,主线偏好-工科信息制造,机械自动化机器人,false,H225,武夷学院,H22502,4,11,机械设计制造及其自动化,,待了解-未命中当前偏好方向,,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-8b431483378cc590,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,主线偏好-工科信息制造,机械自动化机器人,false,H225,武夷学院,H22502,5,12,电气工程及其自动化,,待了解-未命中当前偏好方向,,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-7571b26a567b7be3,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,主线偏好-工科信息制造,电子信息网络,false,H225,武夷学院,H22502,6,13,电子信息工程,,待了解-未命中当前偏好方向,,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-14408a4afe3eddfc,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,H225,武夷学院,H22502,7,14,高分千材料与工程（专业体检要求详见学校招生章程）,,暂缓判断-特殊限制待核,体检或色觉限制,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-58368cff0171a7a5,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,H225,武夷学院,H22502,8,15,化学工程与工艺（专业体检要求详见学校招生章程）,,暂缓判断-特殊限制待核,体检或色觉限制,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-4afd4522f9300198,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,H225,武夷学院,H22502,9,16,生物工程（专业体检要求详见学校招生章程）,,暂缓判断-特殊限制待核,体检或色觉限制,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-5e24358ac825ebe1,G-0620ea4028f5d9bd
