第二轮候选ID,第二轮池,第二轮层级,建议梯度,专业角色判断,第二轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,可了解-农业相关,农业动医兽医；计算机AI软件；计算机类相关,false,H315,景德镇陶瓷大学,H31502,11,13,人工智能（办学地点：湘湖校区）H316江西农业大学（公办）（江西）,计算机类相关,优先了解-命中当前偏好方向,,,97,5220,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-821a212944c32d0a,G-95b37b0322d929ba
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,调剂接受度待判断,,false,C126,湖北文理学院,C12610,1,38,签堂器（含数学与应用数学、数据计算及应用专业；办学地点：隆中校区）,,待了解-未命中当前偏好方向,,化学 1275,259,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-2616fc56cde326b4,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,主线偏好-工科信息制造,机械自动化机器人,false,C126,湖北文理学院,C12610,2,39,机械类（含机械设计制造及其自动化留能制造工程专业；办学地点：隆中衣区）,,待了解-未命中当前偏好方向,,,327,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-367da5ba7b5e9889,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,字段缺口待核,,false,C126,湖北文理学院,C12610,3,40,车辆工程（新能源汽车；办学地点：隆中校区）,,待了解-未命中当前偏好方向,,,91,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-bc18b9edc3e83b93,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,字段缺口待核,,false,C126,湖北文理学院,C12610,4,41,智能车辆工程（办学地点：隆中校区）,,待了解-未命中当前偏好方向,,,80,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-9f85e89e0253aa5f,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,主线偏好-工科信息制造,电子信息网络,false,C126,湖北文理学院,C12610,5,42,电子信息类（含电子信息工程、通信工程专业；办学地点：隆中校区）,,待了解-未命中当前偏好方向,,,266,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-eb5df77c302d324f,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,C126,湖北文理学院,C12610,6,43,软件工程（办学地点：隆中校区）,计算机类相关,优先了解-命中当前偏好方向,,,96,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-aed4ea4898eb8d2f,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,主线偏好-计算机/数字媒体,电子信息网络；计算机AI软件；计算机类相关,false,C126,湖北文理学院,C12610,7,44,物联网工程（办学地点：隆中校区）,计算机类相关,优先了解-命中当前偏好方向,,,86,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-03a5c2fc11e2845d,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,字段缺口待核,,false,C126,湖北文理学院,C12610,8,45,交通设备与控制工程（办学地点：隆中校区）,,待了解-未命中当前偏好方向,,,41,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-7a3ac15da4148022,G-cad29fb7a08fd6ae
R2GROUP-09c1f6deac9f5647,主线,M2-稳冲主线优先,稳冲观察,字段缺口待核,,false,C126,湖北文理学院,C12610,9,46,智慧交通（办学地点：隆中校区）,,待了解-未命中当前偏好方向,,,29,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,13,4,74,right,M-1b3d90448cceb778,G-cad29fb7a08fd6ae
R2GROUP-10080af753dd0e10,主线,M2-稳冲主线优先,稳冲观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F386,内蒙古工业大学,F38603,1,03,计算机科学与技术（办学地点：金川校,计算机类相关,优先了解-命中当前偏好方向,,,4,4600,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,-4,111,right,M-f160745e4ac48b85,G-65ebf80b76a3cd35
R2GROUP-10080af753dd0e10,主线,M2-稳冲主线优先,稳冲观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F386,内蒙古工业大学,F38603,2,04,人工智能（办学地点：金川校区）,计算机类相关,优先了解-命中当前偏好方向,,,,4600,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,-4,111,right,M-9da4ff3d1856b4a8,G-65ebf80b76a3cd35
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,1,05,治金工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-808535c1c4be4fae,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,2,06,材料科学与工程（办学地点：秀山校,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-206f7ae5f468e47c,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,3,07,测控技术与仪器（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-8c1b03694cf4f04b,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,4,08,车辆工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-7d8d87ad79aeffd1,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,5,09,电气工程及其自动化（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-ac84d3b10b3802ad,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-工科信息制造,电子信息网络,false,F117,安徽工业大学,F11702,6,10,电子信息工程（办学地点：佳山校区）二高分子材料与工程（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-57d566d166e1e8d1,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,7,12,给排水科学与工程（办学地点：秀山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-b5b923c242dab445,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,8,13,焊接技术与工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-b9c4a2b50a089ac2,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,9,14,化学工程与工艺（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-886677663c056a65,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,可了解-环境,环境工程科学,false,F117,安徽工业大学,F11702,10,15,环境工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-9e9c4a191a415c39,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,11,16,机器人工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-64498ad36c5c276b,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,12,17,机械设计制造及其自动化（办学地点：KA◎ZG院校专业组及专业代号佳山校区）,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-43f4c7f8e5b6b366,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,13,18,计算机科学与技术（办学地点：佳山校,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-7b6561d6f719e168,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,14,19,建筑环境与能源应用工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,3,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-1ee7d230291518f5,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,15,20,金属材料工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-9d208329840691da,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,16,21,熊源与动力工程（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-4f90eafc82d5543f,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,17,22,人工智能（办学地点：佳山校区）,计算机类相关,优先了解-命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-48c809ef4adb8ff5,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,18,23,软件工程（办学地点：佳山校区）,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-cb5548f786c5c869,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-工科信息制造,电子信息网络,false,F117,安徽工业大学,F11702,19,24,通信工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-5527be2f5a0c02c1,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,20,25,士木工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-a0f2c582d687acd9,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-工科信息制造,电子信息网络,false,F117,安徽工业大学,F11702,21,26,徹电子科学与工程（办学地点：秀山校,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-69fb06fd682c0a16,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-计算机/数字媒体,电子信息网络；计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,22,27,物联网工程（办学地点：佳山校区）,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-9de12f7ab602f259,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,23,28,应用化学（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-560bb57b57b8d24f,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,24,29,资源循环科学与工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-850d74e78ba9d154,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,25,30,自动化（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-ecddf33bb13f8b7c,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,主线,M4-城市/点名/历史待补观察,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,26,31,智能建造（办学地点：秀山校区）H118 安徹理工大学（公办）（安徽）,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-602c0e6e49e32f7d,G-c5ce24d41d1f9e63
R2GROUP-1546e9971cebe7e8,主线,M2-稳冲主线优先,稳冲观察,调剂接受度待判断,,false,F583,吉林建筑大学,F58303,1,08,土木工程（办学地点：净月校区）,,待了解-未命中当前偏好方向,,「化学,4,5940,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,8,-15,119,right,M-f34b21de2cc968c3,G-30d1416d72ea0545
R2GROUP-1546e9971cebe7e8,主线,M2-稳冲主线优先,稳冲观察,字段缺口待核,,false,F583,吉林建筑大学,F58303,2,09,工程力学（办学地点：净月校区）,,待了解-未命中当前偏好方向,,,2,5940,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,8,-15,119,right,M-32d00ac3d83978a0,G-30d1416d72ea0545
