第四轮5万专项候选ID,费用场景,费用判断,解析学费,中外合作或高收费线索,讨论集合,城市,冲稳保,院校代码,院校名称,院校专业组代码,专业组内专业序号,专业代号,专业名称及备注,专业偏好方向,第四轮方向标签,专业角色判断,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R4FEEGROUP-67dc1587ed7d8699,预算内中外合作/高收费可讨论,预算内,26000,学费候选 26000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,长春市,稳妥观察,F600,长春大学,F60017,1,25,电子信息工程（中外合作办学）（与韩国青云大学合作办学：办学地点：卫星校区）,,电子信息网络,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,要求,3,26000,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-8,123,left,M-580d701c209d0882,G-f2091a7e79c7d190
R4FEEGROUP-d0f77ca74f01e03d,预算内中外合作/高收费可讨论,预算内,18000,学费候选 18000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,乌鲁木齐市,稳妥观察,K749,新疆农业大学,K74905,1,23,工商管理类（参计学、人力资源管理、市场营销：外语单科成绩不低于，90分（中英双语教学，非英语语种考生候报）：办学地点：亚心校区）,,工商旅游管理,可了解-管理/旅游,默认不能接受-高收费或超预算,语种或单科限制,要求,10,18000,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-6,-20,233,right,M-3c53de092ff30374,G-f09d5dd76c933814
R4FEEGROUP-d0f77ca74f01e03d,预算内中外合作/高收费可讨论,预算内,18000,学费候选 18000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,乌鲁木齐市,稳妥观察,K749,新疆农业大学,K74905,2,24,经济与贸易类（国际经济与贸易；外语单科成绩不低于90分（中英双语教学，非英语语种考生慎报）：办学地点：亚心校区）,,,费用或培养模式需核,默认不能接受-高收费或超预算,语种或单科限制,,2,18000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-6,-20,233,right,M-ef2c863a461ecf2c,G-f09d5dd76c933814
R4FEEGROUP-8c33e1d043415276,预算内中外合作/高收费可讨论,预算内,50000,学费候选 50000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,西安市,稳冲观察,K487,西安航空学院,K48704,1,05,机械设计制造及其自动化（中外合作办学〉（属于高收费项目；办学地点：阎,,机械自动化机器人,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,,,［50000,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H3-历史最高线高于等位分15分内,12,12,226,right,M-4c5d8bf8bc78fd43,G-935d37c9c17b0a96
R4FEEGROUP-8c33e1d043415276,预算内中外合作/高收费可讨论,预算内,50000,学费候选 50000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,西安市,稳冲观察,K487,西安航空学院,K48704,2,06,直动化（中外合作办学）（属于高收费项自：办学地点：阎良校区）K488 西安医学院（公办）（陕西）,,,费用或培养模式需核,默认不能接受-医学护理等排除方向,中外合作或高收费；医学/护理等排除方向,,,50000,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H3-历史最高线高于等位分15分内,12,12,226,right,M-df0a1e1f46c48947,G-935d37c9c17b0a96
R4FEEGROUP-ecea493b08d88824,普通/未触发高费合作线索,,6000,,5万内高收费/中外合作主表,哈尔滨市,冲刺观察,F683,黑龙江大学,F68307,1,14,国际经济与贸易,,,字段缺口待核,待了解-未命中当前偏好方向,,,,6000,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,25,25,123,right,M-5c0fbd6ec23cb031,G-2aa19e81fc2eb609
R4FEEGROUP-ecea493b08d88824,预算内中外合作/高收费可讨论,预算内,6000,学费候选 6000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,哈尔滨市,冲刺观察,F683,黑龙江大学,F68307,2,15,金融学（中俄学院招告，由经济与工商管理学院培养：俄语课程四年不断线，部分专业课程由俄罗斯新西伯利亚国立大学致师讲授：学业成绩优秀者，可获国家留学基金委公派赴俄罗斯留学资格，留学遵循自愿原则）,,工商旅游管理,可了解-管理/旅游,待了解-未命中当前偏好方向,,,,6000,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,25,25,123,right,M-52e7071dac6afe1f,G-2aa19e81fc2eb609
R4FEEGROUP-a77930d7229c0a2c,预算内中外合作/高收费可讨论,预算内,40000,学费候选 40000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,长春市,冲刺观察,F582,长春工业大学,F58212,1,41,统计学（中外合作办学）（与乌兹别克斯坦国家研究梨大学塔什干灌溉与农业机械学院合作办学”4+0”双证：办学地点：北湖校区）F583 吉林建筑大学（公办）（吉林）,,农业动医兽医；机械自动化机器人,可了解-农业相关,默认不能接受-高收费或超预算,中外合作或高收费,,5,40000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,30,30,119,right,M-d094e7aca91f6c96,G-a42e717a8cda0c10
R4FEEGROUP-5f8fe3e7b77a29c0,预算内中外合作/高收费可讨论,预算内,36000,学费候选 36000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,荆门市,稳妥观察,C139,荆楚理工学院,C13910,1,52,电气工程及其自动化（中外合作办学）,,机械自动化机器人,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,化学,70,36000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-9,-23,80,left,M-958d3fb3fd3be488,G-cc57a2af04df460d
R4FEEGROUP-873ef0a8f79fc971,预算内中外合作/高收费可讨论,预算内,22800,学费候选 22800 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,黄石市,稳妥观察,C138,湖北理工学院,C13815,1,67,机械设计制造及其自动化（中外合作办学）（非英语语种考生慎报）,,机械自动化机器人,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,,80,22800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-2,79,right,M-5edc934771dbf416,G-21e14f5f768e5237
R4FEEGROUP-a9dbe4bdfa34ad25,预算内中外合作/高收费可讨论,预算内,35000,学费候选 35000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,武汉市,稳冲观察,C150,武汉商学院,C15007,1,53,经济与金融（中外合作办学）（“3+“双证培养模式；大一在马影河校区就读，大二起在后官湖校区就读）,,,费用或培养模式需核,默认不能接受-高收费或超预算,中外合作或高收费,不限,35,35000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,matched,H3-历史最高线高于等位分15分内,9,-12,81,left,M-c4caa515d5d04f28,G-c17bbc8198fca6e9
R4FEEGROUP-e3c1a7f010929778,预算内中外合作/高收费可讨论,预算内,20000,学费候选 20000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,四平市,稳冲观察,F589,吉林师范大学,F58906,2,09,环境工程（国际本科学术互认课程专GAKAZ业，不招色弱、色盲、单一颜色不能识别者：办学地点：四平校区）,,环境工程科学,可了解-环境,默认不能接受-高收费或超预算,体检或色觉限制,,2,20000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,-1,121,left,M-3711f34adca30e97,G-32706d004516e53e
R4FEEGROUP-f4b6eecb696a740f,预算内中外合作/高收费可讨论,预算内,26000,学费候选 26000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,长春市,稳冲观察,F600,长春大学,F60016,1,24,自动化（中外合作办学）（与俄罗斯马斯季诺夫波罗的海国立技术大学合作办学：办学地点：卫星校区）,,机械自动化机器人,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,化学,,26000,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,10,122,right,M-3f6c86ee41c1be8a,G-f5a9e8d0e8d1e1ac
R4FEEGROUP-968c1f71df500d20,预算内中外合作/高收费可讨论,预算内,46000,学费候选 46000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,湘潭市,冲刺观察,H679,湖南工程学院,H67904,1,27,机械电子工程（中外合作办学）,,机械自动化机器人,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,,2,46000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,23,23,183,left,M-f192510950bf42d8,G-ada8c53eb1c0a537
R4FEEGROUP-968c1f71df500d20,预算内中外合作/高收费可讨论,预算内,46000,学费候选 46000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,湘潭市,冲刺观察,H679,湖南工程学院,H67904,2,28,电子信息工程（中外合作办学）,,电子信息网络,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,,2,46000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,23,23,183,left,M-a6e973b25b0a493d,G-ada8c53eb1c0a537
R4FEEGROUP-8ce7adefdb4bcd06,预算内中外合作/高收费可讨论,预算内,28000,学费候选 28000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,宁波市,冲刺观察,H021,宁波工程学院,H02104,2,12,億息与计算科学（中外合作办学）（中美合作办学，4年国内学习，要求高考外请成绩不低于 100分：办学地点：风,,,费用或培养模式需核,默认不能接受-高收费或超预算,中外合作或高收费,,6,28000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,11,141,left,M-d1bd6329cbfd58e0,G-b962a2f16e1e45e8
R4FEEGROUP-8ce7adefdb4bcd06,普通/未触发高费合作线索,,,,5万内高收费/中外合作主表,宁波市,冲刺观察,H021,宁波工程学院,H02104,3,H0,22 浙江水利水电学院（公办）（浙江）,,,字段缺口待核,待了解-未命中当前偏好方向,,「化学,20,,1,学费,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,11,141,left,M-b04ff677ea587f69,G-b962a2f16e1e45e8
R4FEEGROUP-66d178cb913a081a,预算内中外合作/高收费可讨论,预算内,40000,学费候选 40000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,长春市,冲刺观察,F582,长春工业大学,F58211,1,40,"电气工程及其自动化（中外合作办学）（与乌兹别克斯坦国家研究型大学塔什干灌溉与农业机械学院合作办学“4+0""双证，不招色盲色弱具不招单色识别不全者：办学地点：南湖校区）",,农业动医兽医；机械自动化机器人,可了解-农业相关,默认不能接受-高收费或超预算,体检或色觉限制；中外合作或高收费,化学,5,40000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,30,30,119,right,M-f3057590149e47c9,G-4721dd04d32ca48e
R4FEEGROUP-d73b130961349114,预算内中外合作/高收费可讨论,预算内,40000,学费候选 40000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,长春市,稳冲观察,F583,吉林建筑大学,F58307,1,30,电气工程及其自动化（中外合作办学）（与美国杨斯顿州立大学合作办学，录取有专业志愿的考生，宜英语考生填报；办学地点：净月校区）,,机械自动化机器人,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,化学,4,40000,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,1,1,120,left,M-0bed49d5c55bb34f,G-dfc21415f45fcb0f
R4FEEGROUP-8ce7adefdb4bcd06,预算内中外合作/高收费可讨论,预算内,28000,学费候选 28000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,宁波市,冲刺观察,H021,宁波工程学院,H02104,1,11,机械设计制造及其自动化（中外合作办学）（中美合作办学，4年国内学习票求高考外语成绩不低于100分；办学地点：前湾校区）,,机械自动化机器人,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,化学,3,28000,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,11,141,left,M-b9e022d95a847f1d,G-b962a2f16e1e45e8
