重点核验序号,重点核验状态,压缩结论,入选或暂缓理由,城市偏好提示,核验优先级,建议家庭动作,是否可作为定稿依据,组内硬排除专业数,城市,院校代码,院校名称,院校专业组代码,冲稳保,历史线索分层,同代码命中年份数,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,环境工程科学专业数,农业不含动物相关专业数,工商旅游管理专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,机器核验下一步,人工核验下一步,下一步核验动作,专业组出现ID,第四轮候选ID
11,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；师范1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,曲靖市,K354,曲靖师范学院,K35405,稳妥观察,H2-历史最高线不高于等位分,3,478,478-494=-16,483,483-497=-14,475,475-481=-6,6,0,2,2,1,0,1,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.14 应用化学[M-bd05fbf25f849729]；2.15 新能源材料与器件[M-67b30d05dc059295]；3.16 电子信息工程[M-06e5b46c49334ed2]；4.17 计算机科学与技术（师范类）[M-4d2c040232bd5eff]；5.18 智能科学与技术[M-b65d92d2c10a1c98]；6.19 食品科学与工程[M-144698afc06618d6],,220,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-b8b6bec2998fd549,R4GROUP-bc6df0b4dd63b190
12,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,抚州市,H375,赣东学院,H37503,稳妥观察,H2-历史最高线不高于等位分,1,492,492-494=-2,,,,,7,0,2,2,2,2,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.05 测绘工程（（1）肢体残疾（不维续恶化）；（2）任何一眼矫正到4.8镜片度数大于800度的.符合以上两种情形的考生，建议慎重报考测绘工程、遥感科学与技术、智能建造及工程管理专[M-2bb57c82fb587d20]；2.06 计算机科学与技术[M-43bf5cf25f7eb2ec]；3.07 通信工程[M-ccbd2b6f5cb0ad25]；4.08 物联网工程[M-7235d1fd71aad297]；5.09 自动化[M-0d05ce8806bff055]；6.10 智能制造工程[M-f00bf6d96ccb7d42]；7.11 新能源汽车工程H376 南昌航空大学科技学院（独立）（江西）[M-e981c977aa110240],,161,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-f7587aa41609d259,R4GROUP-a7a53ab0f4e20447
13,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络1；师范1；有6个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,海口市,K005,琼台师范学院,K00505,稳妥观察,H2-历史最高线不高于等位分,2,492,492-494=-2,497,497-497=+0,,,8,0,3,3,1,0,1,0,0,0,6,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.06 软件工程（办学地点：桂林洋校区）[M-68b6096c537fec1d]；2.07 数学与应用数学（师范类；办学地点：桂林洋校区）识别红、紫各种颜色中任何一种颜色者；办学地点：桂林洋校K006 海南比勒贵尔德应用科学大学（中外）（海南）K00601海南比勒费尔德应用科学大学第01不限[M-765e62d010fed49a]；3.01 经济工程（英语教学为主，非英语语种考生慎重报考）[M-43ef232afb4786f8]；4.02 物流工程（英语教学为主，非英语语种考生慎重报考）K00602 海南比勒费尔德应用科学大学第 02化学[M-304952e0a49afbdd]；5.03 计算机科学与技术（单色识别不清者不予录取：英语教学为主，非英语语种考生慎重报名）[M-86b686687a3d92db]；6.04 电子信息科学与技术（单色识别不清煮不予录取：英语教学为主，非英语语种考生慎重报名）[M-74c1aa721dde978e]；7.05 软件工程（单色识别不清者不予录取英语教学为主，非英语语种考生慎重报名）K00603海南比勒费尔德应用科学大学第03化学[M-1183b632693d5a5e]；8.06 电气工程与智能控制（英语教学为主，非英语语种考生慎重报名）K035 海口经济学院（民办）（海南）[M-1d948bdb8e0f5e65],桂林洋校区,202,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-d2c32a2887ae3b29,R4GROUP-43251e7bdb31e3d9
14,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；师范2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,保定市,F189,保定学院,F18905,稳妥观察,H2-历史最高线不高于等位分,2,493,493-494=-1,,,478,478-481=-3,4,0,2,2,1,0,2,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.07 数学与应用数学（师范类）[M-a9cdb2383dd485e9]；2.08 软件工程[M-adbf733f17230445]；3.09 份差（不把色頭、堡真疑公森照售型混别红、黄、绿、、紫各种颜色中任何一种颜色的考生）[M-fd2f73ab505a5c0d]；4.10 物联网工程F191 唐山师范学院（公办）（河北）[M-3c11775a27ed0c0f],,101,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-c5d11aeb048a778d,R4GROUP-b7e335896d03679f
15,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,临汾市,F348,山西电子科技学院,F34801,稳妥观察,H2-历史最高线不高于等位分,1,484,484-494=-10,,,,,5,0,2,2,2,1,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.01 光电信息科学与工程[M-381098630fbe1e02]；2.02 网络工程[M-4432e298a79ae782]；3.03 智能科学与技术[M-356b1d073877b505]；4.04 机械电子工程[M-5b8f82e8dff108c9]；5.05 电子封装技术F350 山西科技学院（公办）（山西）[M-aff67a155554bee3],,110,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-cfaf086a447f3635,R4GROUP-63e7de6cd453c519
16,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；电子信息/网络1；师范2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,六盘水市,K272,六盘水师范学院,K27203,稳妥观察,H2-历史最高线不高于等位分,2,479,479-494=-15,491,491-497=-6,,,4,0,1,1,1,0,2,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.03 生物科学（师范类）[M-4870082daedb4ea4]；2.04 数学与应用数学（师范类）[M-7d636a3b9a9668cc]；3.05 治金工程[M-74e9b3119736d79c]；4.06 物联网工程[M-1292154662be557e],,216,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-677684376bb18056,R4GROUP-9fcb67becaf3ef14
17,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；电子信息/网络2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,乌鲁木齐市,K757,新疆工程学院,K75703,稳妥观察,H2-历史最高线不高于等位分,1,,,,,471,471-481=-10,2,0,1,1,2,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.18 通信工程（信息技术产教融合合作班）[M-035c4f5d91c7073c]；2.19 物联网工程（信息技术产教融合合作[M-c970f193141878c5],,236,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-ea5ee122c9d296aa,R4GROUP-89cf9bcbf473967f
18,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；师范1；有2个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,河池市,H901,河池学院,H90105,稳妥观察,H2-历史最高线不高于等位分,2,485,485-494=-9,490,490-497=-7,,,2,0,2,2,1,0,1,0,0,0,2,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.06 物联网工程（不招色盲；办学地点：龙[M-7b64d1ec09d266fe]；2.07 数据科学与大数据技术（不招色盲；办学地点：龙江校区）H902 玉林师范学院（公办）（广西）[M-b47acdedea5260b9],龙江校区,197,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-ef864e0da83d8527,R4GROUP-3647cf6fb3b88ac1
19,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；机械自动化2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,孝感市,C127,湖北工程学院,C12708,稳妥观察,H2-历史最高线不高于等位分,1,,,,,479,479-481=-2,3,0,1,1,0,2,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.36 电气工程及其自动化[M-a550959117c8cad9]；2.37 自动化[M-6ebd45eba1142add]；3.38 计算机科学与技术[M-cb7f7e15b22970ee],,74,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-a992f7638048133d,R4GROUP-3d290a431cb6510e
20,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；机械自动化1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,秦皇岛市,F200,河北科技师范学院,F20002,稳妥观察,H2-历史最高线不高于等位分,2,482,482-494=-12,484,484-497=-13,,,4,0,2,2,1,1,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.05 应用化学（在昌黎校区就读）[M-99575750ffafb866]；2.06 机械设计制造及其自动化（在开发区校区就读）[M-086570ca562efb86]；3.07 物联网工程（在秦皇岛校区就读）[M-836b3b780c62ef3a]；4.08 数据科学与大数据技术（在秦皇岛校区就读）F201 唐山学院（公办）（河北）[M-27f14ebdf0689e15],在昌黎校区；在开发区校区；在秦皇岛校区,103,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-42d45c1d1231f2a1,R4GROUP-abc6b0c3be579ab0
21,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；师范7；有2个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,十堰市,C151,汉江师范学院,C15108,稳妥观察,H2-历史最高线不高于等位分,1,482,482-494=-12,,,,,7,0,0,0,0,0,7,0,0,0,2,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.24 科学教育（师范类：办学地点：校本部）[M-1589a255f636a226]；2.25 艺术教育（师范类：办学地点：校本部）[M-736a86a4c5d51281]；3.26 学前教育（师范类：办学地点：校本部不招色盲、色弱考生，详见院校章程）[M-1f67d3e4be6e37fa]；4.27 小学教育（师范类；办学地点：校本部）[M-ad6a3781f1eefcb1]；5.28 汉语言文学（师范类；办学地点：校本[M-90571045abefddcf]；6.29 葵语（师范类：办学地点：校本部：外语[M-4f302aff91d26658]；7.30 心理学（师范类：办学地点：校本部；不招色盲、色弱考生，详见院校章程）[M-3b5be7ce74eb3f8e],,81,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-5522fc6f61f2fa08,R4GROUP-5f8b2212333cd246
22,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；机械自动化1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,昆明市,K347,云南农业大学,K34707,稳妥观察,H2-历史最高线不高于等位分,1,482,482-494=-12,,,,,5,0,1,1,0,1,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.12 食品质量与安全[M-b694ebe597cbb03d]；2.13 水利水电工程[M-90f3b5080f9bda4f]；3.14 电气工程及其自动化[M-6047f3410be1192a]；4.15 应用化学[M-fe5a2a93c59afc39]；5.16 数据科学与大数据技术[M-db02870cf63a4993],,218,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-2736aacdbed7d895,R4GROUP-7d2040383de1f7af
23,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；电子信息/网络1；师范2；机械自动化1；有1个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,宝鸡市,K473,宝鸡文理学院,K47302,稳妥观察,H2-历史最高线不高于等位分,3,488,488-494=-6,488,488-497=-9,480,480-481=-1,4,0,1,1,1,1,2,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.02 化学（师范荟；不招色弱、色盲；办学地点：高新校区）03（统计学（办学地点：高新校区）[M-aefad7218e0d9ff7]；2.04 电气工程及其自动化（办学地点：石鼓Z[M-5c829e557d31c40c]；3.GA OKA院校代号[M-e157f457721ea3b3]；4.05 物联网工程（办学地点：石鼓校区）K474 咸阳师范学院（公办）（陕西）[M-5c5f921a61f59f91],高新校区；石鼓校区,225,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-1a6ca29d4c3e2c13,R4GROUP-0f82c426b7390702
24,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,黄石市,C138,湖北理工学院,C13811,稳妥观察,H2-历史最高线不高于等位分,3,480,480-494=-14,488,488-497=-9,472,472-481=-9,4,0,0,0,2,2,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.54 电子信息工程[M-48b1a305b9c7e86e]；2.55 通信工程[M-9b4e65a692074a76]；3.56 电气工程及其自动化[M-128214aede4ecfe0]；4.57 自动化[M-0154a57fcc7c7e79],,79,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-dc838b805da2befe,R4GROUP-068169280809c9a7
25,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；电子信息/网络3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,孝感市,C127,湖北工程学院,C12707,稳妥观察,H2-历史最高线不高于等位分,2,480,480-494=-14,485,485-497=-12,,,4,0,0,0,3,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.32 物理学[M-644e43ea080fa539]；2.33 电子信息工程[M-4d10d184aed0f126]；3.34 光电信息科学与工程[M-cf4afdb8372b8417]；4.35 电子信息科学与技术[M-f8bfb76d34084a81],,74,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-3b38b76a9fd11177,R4GROUP-ae6b9c4afaf15a02
26,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络4；师范6；工商旅游管理1；有2个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,淮南市,H135,淮南师范学院,H13502,稳冲观察,H3-历史最高线高于等位分15分内,3,485,485-494=-9,502,502-497=+5,482,482-481=+1,18,0,4,4,4,0,6,0,0,1,2,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.06 英语（师范类：外语语种：英语；办学地点：泉山校区）[M-1d97958004dc7fbb]；2.07 应用心理学（办学地点：泉山校区）[M-4ec638570922dd68]；3.08 商务英语（外语语种：英语；办学地点：泉山校区）[M-d17b307baa2eafce]；4.09 金融工程（办学地点：泉山校区）[M-7bcbe12d2d9f4b05]；5.10 会计学（办学地点：泉山校区）皿13503 淮南师范学院第 03组[M-8a5d62a2b8e9e4e8]；6.11 储能科学与工程（办学地点：泉山校[M-3569a8bffbb43383]；7.12 光电信息科学与工程（办学地点：泉山校区）[M-22d1799a36fea70f]；8.13 集成电路设计与集成系统（办学地点：泉山校区）[M-fcde1cb3eb9f7b5b]；9.14 计算机科学与技术（办学地点：泉山校[M-e6f585c7aac4e4ce]；10.15 网络工程（办学地点：泉山校区）[M-d5681cb0f5469fc4]；11.16 物联网工程（办学地点：泉山校区）[M-bfa1670af4889e08]；12.17 智能科学与技术（办学地点：泉山校[M-6c9887b5978c5024]；13.18 化学工程与工艺（办学地点：泉山校[M-b3d3e752c9682ea8]；14.19 生物工程（办学地点：泉山校区）[M-41ef058ce047c63f]；15.20 数学与应用数学（师范类；办学地点：泉山校区）[M-b403d38e273bd5e7]；16.21 物理学（师范类：办学地点：泉山校区）[M-1683c9a745c19163]；17.22 化学（师范类；办学地点：泉山校区）[M-1d68937ff21b5d6e]；18.23 生物科学（师范类；办学地点：泉山校H137 安徽建筑大学（公办）（安徽）[M-de3ccb0cb3f2da53],泉山校区,146,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-94a0d9f67cd17d37,R4GROUP-50a8956cdf247800
27,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络3；机械自动化4；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,银川市,A207,北方民族大学,A20711,稳冲观察,H3-历史最高线高于等位分15分内,3,499,499-494=+5,500,500-497=+3,478,478-481=-3,12,0,4,4,3,4,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.52 测控技术与仪器[M-c9e0909c6b21f184]；2.53 电气工程及其自动化[M-3c96529d2ef4a7dd]；3.54 自动化[M-00526c8ea30b54ae]；4.55 电子信息工程[M-53833bb63bdc6982]；5.56 通信工程[M-e3a675a24c514c1e]；6.57 机械设计制造及其自动化[M-867dafebe9da50fe]；7.58 机械电子工程[M-2a610e60c65ce502]；8.59 工业设计[M-b4c2feb53ec41e79]；9.60 计算机科学与技术[M-0b30e7c88a7c801c]；10.61 软件工程[M-cea00d5676d6d75f]；11.62 网络工程[M-30e771758c9d1983]；12.63 智能科学与技术[M-84d7918197e27e55],,58,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-dc7eeee5a09ec904,R4GROUP-85aaddf9b2320037
28,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；数字媒体技术1；计算机/软件/AI3；计算机类3；电子信息/网络4；机械自动化2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,烟台市,H450,山东工商学院,H45004,稳冲观察,H3-历史最高线高于等位分15分内,3,504,504-494=+10,502,502-497=+5,487,487-481=+6,16,1,3,3,4,2,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.39 统计学[M-8ba195c86a925e83]；2.40 人工智能[M-90b2fc54c5bc2e5c]；3.41 数学与应用数学[M-9710c4b647b66507]；4.42 应用统计学[M-8007c889cbd9a1ae]；5.43 自动化[M-86ef54f0445df8fe]；6.44 电气工程及其自动化[M-7fc32d85e35b149c]；7.45 电子信息工程[M-c8e830f39a1d46bb]；8.46 通信工程[M-a8b31c9114605c03]；9.47 计算机科学与技术[M-cdfe659d6ddbb7d7]；10.48 数字媒体技术[M-13b19a3991c8159a]；11.49 安全工程[M-b4b8560bd289f9b5]；12.50 应急技术与管理[M-4a71a2765412ac2a]；13.51 数据计算及应用[M-7a3695c82b5953d6]；14.52 集成电路设计与集成系统[M-7489ddca4dfd3dd8]；15.53 数据科学与大数据技术[M-d7ad035436e7d0f7]；16.54 电子科学与技术H451 山东女子学院（公办）（山东）不限[M-b0e700912fffe743],,169,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-69a8112ee16cf2ba,R4GROUP-c391e381654f3d11
29,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI3；计算机类3；电子信息/网络1；机械自动化4；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,太原市,F311,太原工业学院,F31102,稳冲观察,H3-历史最高线高于等位分15分内,3,495,495-494=+1,488,488-497=-9,491,491-481=+10,10,0,3,3,1,4,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.06 机械电子工程GAKA一•z专业组及专业代号[M-0866480aca85a441]；2.07 智能制造工程[M-8cfb43de352f0ed2]；3.08 智能车辆工程[M-86d69bc102cb0a69]；4.09 物联网工程[M-79978ec21a64feff]；5.10 智能无人系统技术[M-6eeccebc28680d58]；6.11 测控技术与仪器（屈光不正（近视眼或远视眼）任何一眼矫正后镜片度数大于400度者，不宜就读）[M-44c091cf855e4c63]；7.12 电气工程及其自动化[M-9a8d4ae541b8133c]；8.13 机器人工程[M-c92018b1a4082d03]；9.14 计算机科学与技术[M-e43d4c912f7aa71e]；10.15 软件工程[M-dc3cd37605171f3a],,109,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-9d5ccd6576a2150a,R4GROUP-c98d65af99b45fd0
