扩展预算场景专业ID,专业组出现ID,场景判断,费用判断,中外合作或高收费线索,是否医学相关待确认,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,人工核验优先级,人工核验强度,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID
COOPMAJOR-49083d3682492661,G-74da7740bdf41b0c,预算内中外合作/高收费可讨论,预算内,学费候选 33800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H062,浙江越秀外国语学院,H06203,3,10,数字媒体技术（办学地点：镜湖校区）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,33800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-34,-50,142,left,M-af7102514a8f4011
COOPMAJOR-ead80a1333299793,G-d7510f0e64d4e030,预算内中外合作/高收费可讨论,预算内,学费候选 60000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H116,安徽大学,H11604,3,26,数字媒体技术（中外合作办学）（部分课程使用英文原版教材和外籍教师舍英文授课，高考外语单科分数不得低于115分（满分150分），高考为非英语|语种考生慎报；办学地点：龙河校区）H117 安徹工业大学（公办）（安徽）,数字媒体技术,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,,5,60000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,92,86,143,right,M-1ef61f8581019268
COOPMAJOR-13cfe15dffe88cee,G-21c0c36c102d6038,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H223,福建师范大学,H22304,1,13,数字媒体技术（中外合作办学）（中日作办学：与日本京都情报大学院大合作办学：办学地点：旗山校区,数字媒体技术,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,「化学,4,20000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H5-历史最高线高于等位分30分以上,56,40,148,left,M-c638d29c61ea25d4
COOPMAJOR-857d7c539919cdb1,G-0fe800cd0861b169,预算内中外合作/高收费可讨论,预算内,学费候选 31000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H272,阳光学院,H27203,9,29,数字媒体技术（第一学年在福州滨海校区培养，第二至第四学年培养地点以学校当年规划为准；办学地点：福州滨海校区）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,31000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-60,-60,150,left,M-a517ac1223e94562
COOPMAJOR-37ed58922e84453a,G-84ea6b21a11f816e,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H276,福建师范大学协和学院,H27603,3,09,数字媒体技术,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,20000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-29,-29,151,left,M-fd6de8c0a384c897
COOPMAJOR-44928ebca8aa37d4,G-d28494eeeb89cb13,预算内中外合作/高收费可讨论,预算内,学费候选 33500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H279,福州理工学院,H27903,3,14,数字媒体技术（办学地点：连江校区）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,3,33500,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-60,-65,151,right,M-bc2f86c9fa63d3fe
COOPMAJOR-10512fe005c6c6b2,G-eb48d030082e59a6,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H365,江西科技学院,H36502,7,14,数字媒体技术,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-41,-47,160,right,M-7477cd6dba45b337
COOPMAJOR-f81993b20cd5a749,G-aa86916286a1387e,预算内中外合作/高收费可讨论,预算内,学费候选 31800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H719,湖南涉外经济学院,H71903,6,33,数字媒体技术,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,31800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-60,-66,184,right,M-246358dc3c9f296a
COOPMAJOR-96752558ecc39663,G-8eef42036db2dde3,预算内中外合作/高收费可讨论,预算内,学费候选 23500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H724,湘潭理工学院,H72403,8,10,数字媒体技术F727中南林业科技大学涉外学院（独立）（湖,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,23500,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-33,-33,184,right,M-a226a712067862fa
COOPMAJOR-360277e9770b4435,G-86cf327eb7e77631,预算内中外合作/高收费可讨论,预算内,学费候选 16000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,K117,重庆对外经贸学院,K11703,2,08,数字媒体技术（办学地点：合川A校,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,5,16000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-11,-26,207,right,M-0f315f43bb15d962
COOPMAJOR-740bf2d13e4ab91d,G-6b703c5e4b17b419,预算内中外合作/高收费可讨论,预算内,学费候选 45000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,K173,成都工业学院,K17302,1,03,数字媒体技术（中外合作办学）（办学地点：郫都校区）K174 攀枝花学院（公办）（四川）,数字媒体技术,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,,45000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,40,35,212,right,M-7dba8b98288507c5
COOPMAJOR-1a92b1195463cd66,G-b3403defe46b3a9e,预算内中外合作/高收费可讨论,预算内,学费候选 17400 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,K211,电子科技大学成都学院,K21103,8,14,数字媒体技术（大一大三什邡校区就读，大三大四成都校区就读）KZ,数字媒体技术,成都,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,3,17400,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-15,-15,213,left,M-f7a5f8cd1d04e198
COOPMAJOR-6874c8b671284871,G-34202c09ef5e3225,预算内中外合作/高收费可讨论,预算内,学费候选 17800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,K212,成都理工大学工程技术学院,K21202,5,07,数字媒体技术K213四川传 学院（民办）（四川）,数字媒体技术,成都,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,3,17800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-13,-27,213,right,M-cab8305eb8323e83
COOPMAJOR-3974efaf2872f0c6,G-7bdeaad01b703a39,预算内中外合作/高收费可讨论,预算内,学费候选 18000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,K219,成都锦城学院,K21904,3,18,数字媒体技术GAKA◎X代号,数字媒体技术,成都,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,18000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-7,-7,213,right,M-cb61dd329424a3fc
COOPMAJOR-b5ef689ea34d913e,G-1b7db1dd86b00424,预算内中外合作/高收费可讨论,预算内,学费候选 22000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,K399,滇池学院,K39903,2,11,数字媒体技术（办学地点：杨林校区）K400 丽江文化旅游学院（民办）（云南）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,22000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-24,-45,221,left,M-463a6d4f5ad4e16c
COOPMAJOR-a17149a72932f3df,G-ae113c6f8fbbcb65,预算内中外合作/高收费可讨论,预算内,学费候选 35000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,M684,上海中侨职业技术大学,M68402,1,05,数字媒体技术,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,不限,2,35000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-43,-45,238,left,M-08aaee7b292e4856
COOPMAJOR-b11d9ff2308563ce,G-4165268c670da004,预算内中外合作/高收费可讨论,预算内,学费候选 60000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,T216,福州大学,T21605,3,13,数字媒体技术（中外合作办学）（中爱合作 4+0；办学地点：旗山校区）,数字媒体技术,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,,60000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,147,right,M-51b67239a56bad50
COOPMAJOR-62dbfb8b7f61c5c5,G-0daff550ecfdc3bb,预算内中外合作/高收费可讨论,预算内,学费候选 23000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,T274,福州大学至诚学院,T27403,12,23,数字媒体技术,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,4,23000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,151,left,M-3784bf8f05ae0ad0
COOPMAJOR-2bf676c98c49c041,G-75d1c98ed4457e7f,预算内中外合作/高收费可讨论,预算内,学费候选 7500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,T733,柳州职业技术大学,T73302,9,1,数字媒体技术（办学地点：社湾校区）1754广西职业师范学院（公办）（广西）175402广西职业师范学院第02组,数字媒体技术；师范类相关,,非民办线索-教育部名单未备注民办,单独讨论-职业本科名称线索,默认不能接受-高收费或超预算,学费超过当前上限,,2,7500,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,239,left,M-87663f61ba7873af
COOPMAJOR-13ae316775a246a8,G-3a0c940c9affcb18,预算内中外合作/高收费可讨论,预算内,学费候选 5500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A010,北京化工大学,A01009,8,10,软件工程（一年级在沙河校区，四年级将根据学校规划安排在沙河校区或西士城路校区：后两年学费光16000元/年；本专业部分课程采用英语授课，建议非英语考生慎重报考）,计算机类相关,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,学费超过当前上限,,,5500,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,88,88,14,right,M-ba7cfe4e67544349
COOPMAJOR-49e6150db221b1a6,G-a8503e279bee78a4,预算内中外合作/高收费可讨论,预算内,学费候选 70000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A052,中央民族大学,A05210,1,35,数据科学与大数据技术（中外合作办学）（办学地点：海南国际学院）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,化学,8,70000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H5-历史最高线高于等位分30分以上,100,100,19,right,M-f3bc41655521899c
COOPMAJOR-676c4ecd7152e983,G-c710ed5c0bd78ef2,预算内中外合作/高收费可讨论,预算内,学费候选 16000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A073,东北大学,A07303,17,22,计算机类（软件工程：信息安全：虚拟现实技术：入学后部分课程采用英文教材和英语授课，外语语种为非英语的考生请慎重报考；大二、大二学费为5200元/年，大三、大四学费为 16000元/年）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,语种或单科限制；学费超过当前上限,,,16000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,130,113,22,right,M-abd40f6f1e1b96e8
COOPMAJOR-a7b67215f6449d53,G-78d7f1108981806d,预算内中外合作/高收费可讨论,预算内,学费候选 6830 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A079,吉林大学,A07922,1,66,软件工程（真英语语种考生就读：招有专业志愿考生，第三、四年学费共28000元；办学地点：前卫南区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,语种或单科限制；学费超过当前上限,化学,12,6830,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H0-无同代码历史线索,,,24,left,M-c39e4319072fd6a6
COOPMAJOR-adf844589604fd6c,G-ac111c04ceb42620,预算内中外合作/高收费可讨论,预算内,学费候选 60000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A087,东北林业大学,A08706,1,47,计算机科学与技术（中外合作办学）（该专业与新西兰奥克兰大学合作小学。学生入校后可选择”4+0”或3+2（校际交流）”培养模式，部分课程以英语授课，建议英语语种考生报考，具体要求详见学校网站介绍）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,化学,,60000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H5-历史最高线高于等位分30分以上,83,64,26,left,M-85282a00ccb50388
COOPMAJOR-e6cf53a87fe825ce,G-491a994111387c3f,预算内中外合作/高收费可讨论,预算内,学费候选 7000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A091,同济大学,A09104,3,06,工科试验班（计算机与电子类；计算机科学与技术：信息安全；数据科学与大数据技术：电气工程及其自动化；身烈化：通信工程；人工智能：微电子科学与工程；软件工程；该类内分流时学院内专业任选.分流专业中软件工程专三、四年级每年收费标准 16000元单...,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,学费超过当前上限,,9,7000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,166,158,27,left,M-48c96d2cdd4238d7
COOPMAJOR-0f0665f8c4a203e3,G-3efb9a2345c57a00,预算内中外合作/高收费可讨论,预算内,学费候选 26400 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A119,江南大学,A11930,2,52,大数据管理与应用（中外合作办学）（第四学年赴澳大利亚莫纳什大学学习，国外学习阶段学费按协议执行：办学地点：蠡湖校区）A121 南京农业大学（公办）（江苏）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,,26400,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,114,114,33,right,M-fc54433e6fda2e66
COOPMAJOR-5bb06f3dcad8104d,G-9d90ba5867aca808,预算内中外合作/高收费可讨论,预算内,学费候选 70000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A137,中国海洋大学,A13715,1,43,计算机科学与技术（中外合作办学）（与英国赫瑞瓦特大学合办模式， 韭英语语种考生慎重报考；办学地点：西海岸校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,,,70000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,139,108,37,right,M-ef8de304278b9cc0
COOPMAJOR-abe01a25ab3498fb,G-d0f660b5b7a818c7,预算内中外合作/高收费可讨论,预算内,学费候选 6850 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A165,华南理工大学,A16503,4,11,工科试验班（卓越人才班：电气工程及其自动化（卓越班）：能源与动力工程（低碳与智慧能源卓越班）：软件工程（卓越班）：软件工程（工软卓越班）：电子科学与技术（卓越班）：食品科学与工程（未来食品卓越班）：软件工程专业第二学年6850元/年，第三、...,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,学费超过当前上限,,,6850,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H5-历史最高线高于等位分30分以上,145,80,46,right,M-ccbf62ec9b24d164
COOPMAJOR-f0f0cc5a8820e4e6,G-d5422f287134d6f0,预算内中外合作/高收费可讨论,预算内,学费候选 6850 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,A165,华南理工大学,A16504,7,19,软件工程（第一、第三、四学年 16000元/年）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,学费超过当前上限,,,6850,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H5-历史最高线高于等位分30分以上,158,135,46,right,M-2576f1dc96e56c1c
