个性化候选ID,候选主线,本轮分层,家庭讨论动作,是否进入本轮家庭讨论,是否可作为定稿依据,专业角色判断,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,第19期页码,版面列,专业行ID,专业组出现ID,下一步核验动作
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,偏好或可研究专业,A366,厦门大学（马来西亚校区）,A36603,8,15,人工智能（厦门大学马来西亚分校招生专业：学费币种：林吉特：全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）,计算机类相关,默认不能接受-高收费或超预算,语种或单科限制,,,32000,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,64,left,M-5ed7da82f3a73994,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,偏好或可研究专业,A366,厦门大学（马来西亚校区）,A36603,9,16,数据科学（厦门大学马来西亚分校招生专业：学费币种：林吉特：全英文授读，非英语语种考生慎报，外语单科不低于120分，入学第一學年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）,计算机类相关,暂缓判断-特殊限制待核,语种或单科限制,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,64,left,M-8144e5728b9ab566,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,字段缺口待核专业,A366,厦门大学（马来西亚校区）,A36603,10,17,网络空间安全（厦门大学马来西亚分校招生专业：学费币种：林吉特；全英艾授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪,,暂缓判断-特殊限制待核,语种或单科限制,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,64,left,M-583e6f13accfc7f6,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,费用或培养模式需核专业,A366,厦门大学（马来西亚校区）,A36603,11,18,自动化（厦门大学马来西亚分校招生专业：学费币种：林吉特；全英文授课，非英语语种考生馍报，外语单科不低F120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习. 办学地点在马来西亚雪邦）A503 陆军工程大学（公办）（江苏）,,默认不能接受-高收费或超预算,语种或单科限制,,,32000,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,64,left,M-df5088d5585663ac,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-4a7ac5ec3051a488,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,偏好或可研究专业,C139,荆楚理工学院,C13909,1,51,数字媒体技术（中外合作办学）,数字媒体技术,默认不能接受-高收费或超预算,中外合作或高收费,化学,100,25000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-10,-12,80,left,M-9972ec03f5ca7339,G-8167189bef4db0a8,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-2a3f610098a1a08f,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,偏好或可研究专业,K153,成都信息工程大学,K15308,1,38,软件工程（中外合作办学）（与匈牙利欧布达大学合作（4+0），中英双语教学，非英语语种考生慎报：办学地点：◎KAZX,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,,2,55000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,right,M-71e5ea02db7bce1b,G-a5ecc24f63421cfd,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-2a3f610098a1a08f,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,字段缺口待核专业,K153,成都信息工程大学,K15308,2,G,A-院校专业组及妻业代号航空港校区）K154四川轻化工大学（公办）（四川）,,待了解-未命中当前偏好方向,,U,,,2,专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,210,left,M-5a15f78413d6ffbd,G-a5ecc24f63421cfd,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-b7cd096e925c1209,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,偏好或可研究专业,K487,西安航空学院,K48703,1,04,计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费,,,50000,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,18,3,226,right,M-03904cd5b3a6cbd2,G-59294f9eefd08b10,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-b0c4027ebe353aa6,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,偏好或可研究专业,F449,山东交通学院,F44904,1,21,计算机科学与技术（中外合作办学（双证，俄罗斯顿河国立技术大学；办学地点：长清校区）,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费,化学,2,45000,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,169,right,M-138481f2e28a9775,G-fb29084e6c0d60a8,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-b0c4027ebe353aa6,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,费用或培养模式需核专业,F449,山东交通学院,F44904,2,22,交通运输（中外合作办学）（双证，俄罗覆優河国立技术大学；办学地点：长清,,默认不能接受-高收费或超预算,中外合作或高收费,,2,45000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,169,right,M-759e989351f82bd4,G-fb29084e6c0d60a8,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-b0c4027ebe353aa6,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,费用或培养模式需核专业,F449,山东交通学院,F44904,3,23,生木工程（中外合作办学）（双证，俄罗叛顿河国立技术大学；办学地点：长清校区）H450 山东工商学院（公办）（山东）,,默认不能接受-高收费或超预算,中外合作或高收费,,2,45000,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,169,right,M-d99877e0c9464f70,G-fb29084e6c0d60a8,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-96491da11f004543,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,偏好或可研究专业,F589,吉林师范大学,F58906,1,08,软件工程（国际本科学术互认课程专业：办学地点：四平校区）,计算机类相关,默认不能接受-高收费或超预算,,,2,20000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,-1,121,left,M-2f865ec3d85aab83,G-32706d004516e53e,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-96491da11f004543,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,费用或培养模式需核专业,F589,吉林师范大学,F58906,2,09,环境工程（国际本科学术互认课程专GAKAZ业，不招色弱、色盲、单一颜色不能识别者：办学地点：四平校区）,,默认不能接受-高收费或超预算,体检或色觉限制,,2,20000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,-1,121,left,M-3711f34adca30e97,G-32706d004516e53e,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-d4268b65253d4e72,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,费用或培养模式需核专业,F600,长春大学,F60017,1,25,电子信息工程（中外合作办学）（与韩国青云大学合作办学：办学地点：卫星校区）,,默认不能接受-高收费或超预算,中外合作或高收费,要求,3,26000,0,,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-8,123,left,M-580d701c209d0882,G-f2091a7e79c7d190,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-23245498d47267d0,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,偏好或可研究专业,H313,南昌航空大学,H31310,1,52,软件工程（中外合作办学）（南員市上海路校区就读；与白俄罗斯国立大学合作，中白双学位，其中引进外方课程为全英文授课，其他语种考生慎报）,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费,,,28000,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,154,right,M-c702c01021eb49ec,G-75e12099a5064f76,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-82bba71495ff12a8,7万内中外合作/高收费专项,B-高价值高冲观察,谨慎进入专项讨论,true,false,费用或培养模式需核专业,C102,武汉科技大学,C10211,1,58,机械工程（中外合作办学）（建议英语语种考生报考，合作院校：澳大利亚迪大学，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书，学士学位证书；办学地点：黄家湖校区）,,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,「化学,90,35800,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,88,57,65,right,M-7dd57df9a79e416d,G-7e24ed346e3f1516,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-82bba71495ff12a8,7万内中外合作/高收费专项,B-高价值高冲观察,谨慎进入专项讨论,true,false,偏好或可研究专业,C102,武汉科技大学,C10211,2,59,网络工程（中外合作办学）（建议英语语种考生报考4+0“双证培养模式达到毕业要求和学位授予条件可获得学去学燕汉科技大学本科果业亚节、位证书和英国伯明翰城市大学计算机网络与安全莱誉理学学士学位证书；办学地点：黄家湖校区）,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,,120,39800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,88,57,65,right,M-3ca2e9f534421633,G-7e24ed346e3f1516,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c4c27f378c11ed58,7万内中外合作/高收费专项,B-高价值高冲观察,谨慎进入专项讨论,true,false,偏好或可研究专业,C102,武汉科技大学,C10212,1,60,信息与计算科学（中外合作办学）（建，“4+0”双证培养议英语语种考生报考模式，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德里康普顿斯杰学应用数据科学学士学位证书；办学地点：黄家湖校区）,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,化学,55,70000,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,54,54,65,right,M-5b3fb7e1bcf02a85,G-5a6ab11f6c9e9e54,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c4c27f378c11ed58,7万内中外合作/高收费专项,B-高价值高冲观察,谨慎进入专项讨论,true,false,费用或培养模式需核专业,C102,武汉科技大学,C10212,2,61,统计学（中外合作办学）（建议英语语“4+0”双证培养模式，达种考生报考，到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德里康普顿斯大学应思统计学学士学位证书；办学地点：黄冢湖校区）,,默认不能接受-高收费或超预算,中外合作或高收费,,30,70000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,54,54,65,right,M-18299d1cc9faa61b,G-5a6ab11f6c9e9e54,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c4c27f378c11ed58,7万内中外合作/高收费专项,B-高价值高冲观察,谨慎进入专项讨论,true,false,偏好或可研究专业,C102,武汉科技大学,C10212,3,62,机器人工程（中外合作办学）（建议英“4+0”双证培养模语语种考生报考式，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德果康普顿斯大学数据工程与人工智能学士学位证书：办学地点：黄家湖校区）C103 湖北大学...,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费,,55,70000,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,54,54,65,right,M-0015a837bc6e2e24,G-5a6ab11f6c9e9e54,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-f23177bdf27475f8,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,费用或培养模式需核专业,C138,湖北理工学院,C13815,1,67,机械设计制造及其自动化（中外合作办学）（非英语语种考生慎报）,,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,,80,22800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-2,79,right,M-5edc934771dbf416,G-21e14f5f768e5237,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-d594ccc2827744c7,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,偏好或可研究专业,F589,吉林师范大学,F58907,1,10,电子信息工程（中外合作办学）（与美图拉特诺大学合作办学：办学地点：四F590 吉林工程技术师范学院（公办）（吉林）,师范类相关,默认不能接受-高收费或超预算,中外合作或高收费,,,26000,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,8,-4,121,right,M-0d32217adcdfa38c,G-10adbbd8abe0ef20,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-cbf71e454ae68950,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,费用或培养模式需核专业,F600,长春大学,F60016,1,24,自动化（中外合作办学）（与俄罗斯马斯季诺夫波罗的海国立技术大学合作办学：办学地点：卫星校区）,,默认不能接受-高收费或超预算,中外合作或高收费,化学,,26000,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,10,122,right,M-3f6c86ee41c1be8a,G-f5a9e8d0e8d1e1ac,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-4a7581b341b03b6e,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,偏好或可研究专业,H912,桂林旅游学院,H91203,1,03,数据科学与大数据技术（中外合作办学）（高收费专业，不招无此志愿考生学生完成四年国内学习可获得本校毕业证、学位证及外方学位证）「H914广西农业职业技术大学（公办）（广西）,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费,,,59800,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,1,-7,198,right,M-5009c03284f6a512,G-01ebed11db067d72,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-bed16bc5f1102ff9,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,偏好或可研究专业,K273,贵州商学院,K27302,1,02,数据科学与大数据技术（中外合作办学）（学费上限：60000元/学年学费金额严格按照贵州省价格主管部门批准的项目及标准执行）K274 贵州警察学院（公办）（贵州）,计算机类相关,默认不能接受-高收费或超预算,中外合作或高收费；学费超过当前上限,,,60000,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-12,-12,216,right,M-e3e8ed4c935ec557,G-7928cd3ff8c9fa3f,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-bd39470b0dfef4f9,7万内中外合作/高收费专项,D-专项暂缓,暂缓进入专项讨论,false,false,偏好或可研究专业,F273,厦门大学嘉庚学院,F27306,1,22,计算机科学与技术（办学地点：厦门大学漳州校区）,计算机类相关,默认不能接受-高收费或超预算,,化学,,23000,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,150,right,M-f9f520744946f450,G-6955bf0992b6564c,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-bd39470b0dfef4f9,7万内中外合作/高收费专项,D-专项暂缓,暂缓进入专项讨论,false,false,偏好或可研究专业,F273,厦门大学嘉庚学院,F27306,2,23,软件工程（办学地点：厦门大学漳州校,计算机类相关,默认不能接受-高收费或超预算,,,2,23000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,150,right,M-95da5a1626079db1,G-6955bf0992b6564c,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
