抽样批次,抽样理由,原页核验结果,湖北官方核验结果,高校辅证核验结果,是否需要升级同组核验,核验备注,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,是否超预算机器初判,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,是否可低风险抽检,是否可作为机器初筛线索,PDF原页核验状态,湖北官方系统核验状态,高校官网来源状态,高校官网证据匹配状态,历史线索分层,同代码命中年份数,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID,机器核验下一步,人工核验下一步,不得进入原因,下一步
S011,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H797,广东外语外贸大学,H79704,4,32,教育学（培养中小学英语教师：办学地点：大学城校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,85,68,190,right,M-d6060bf5bf107407,G-7535f75500595f13,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S012,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,C203,文华学院,C20306,8,38,计算机科学与技术（办学地点：湖北武,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,true,,131,22800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,1,-39,-39,82,right,M-0a01876a4d2a7577,G-a978a56ec4c31fb3,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S013,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,K161,四川师范大学,K16106,1,62,生物科学（师范类：不招收色弱、色盲考生：办学地点：成龙校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓判断-特殊限制待核,体检或色觉限制,false,生,2,6240,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,1,92,92,212,left,M-199b6001aabadadd,G-0a611c893208249d,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S014,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,A083,哈尔滨工业大学,A08302,9,11,工科试验班（未来空天：飞行器设计与工程、自动化、探测制导与控制技术、智熊材料与结构、飞行器制造工程、飞行器动力工程、测控技术与仪器高分子材料与工程、焊接技术与工程、通信工程、智能科学与技术、机器人工程；本专业类内任选专业）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,,5500,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,1,135,135,24,right,M-5e2cf433c5b44034,G-1995731774357360,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S015,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,C102,武汉科技大学,C10211,2,59,网络工程（中外合作办学）（建议英语语种考生报考4+0“双证培养模式达到毕业要求和学位授予条件可获得学去学燕汉科技大学本科果业亚节、位证书和英国伯明翰城市大学计算机网络与安全莱誉理学学士学位证书；办学地点：黄家湖校区）,计算机类相关,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,true,,120,39800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,88,57,65,right,M-3ca2e9f534421633,G-7e24ed346e3f1516,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S016,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,P868,苏州大学,P86808,1,13,数学类（数学与应用数学；数学与应用数学（师范））,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H0-无同代码历史线索,0,,,130,right,M-b2844486d33e00ac,G-ba21c61b2f00edcb,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S017,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H367,南昌理工学院,H36703,12,20,数据科学与大数据技术（办学地点：南昌校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,优先了解-命中当前偏好方向,,pending_tuition_field_review,,23500,,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,3,-29,-42,161,left,M-b6f539926c855a7f,G-1d50a410f5c98e89,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S018,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,F898,扬州大学,F89805,5,15,计算机科学与技术,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,,5800,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,106,93,134,right,M-7c390936b3df2d2a,G-7dc73d678216b555,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。
S019,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,C103,湖北大学,C10313,2,51,英语（师范类；第一学年在武昌校区；外语语种：英语）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓判断-特殊限制待核,语种或单科限制,false,,21,4500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,102,75,66,left,M-a7c0f04b9dec8275,G-f41f4a7842a1feb1,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S020,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,K117,重庆对外经贸学院,K11703,1,07,数学与应用数学（师范类；办学地点：合川A校区）,师范类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,true,,4,16000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,3,-11,-26,207,right,M-65d86bbbd4558f5b,G-86cf327eb7e77631,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S021,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H850,广州工商学院,H85002,1,03,跨境电子商务（大数据智能班；办学地点：佛山校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,优先了解-命中当前偏好方向,,pending_tuition_field_review,不限,46600,,2,专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,2,-50,-54,193,left,M-853d7f31f127e7b2,G-c1a1859d92ba843e,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S022,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H837,广州软件学院,H83707,1,07,人工智能（办学地点：江门校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,true,化学,,32000,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,1,-23,-23,192,right,M-8e016a1851fc54ed,G-70471fa3a12a960e,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S023,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H319,江西师范大学,H31916,1,52,物理学（师范类；拔尖创新班；办学地点：瑶湖校区）GAZ◎KA院校,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,2,4940,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H0-无同代码历史线索,0,,,157,left,M-ecc5465d34d6c41d,G-fa00fd608f43ad78,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S024,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,C203,文华学院,C20306,10,40,软件工程（办学地点：湖北武汉）专业代号,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,true,,86,22800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,1,-39,-39,82,right,M-55e8723ad86450de,G-a978a56ec4c31fb3,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S025,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,K153,成都信息工程大学,K15304,1,09,数据科学与大数据技术（英才班；办学地点：航空港校区）,计算机类相关,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,,6240,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H5-历史最高线高于等位分30分以上,1,121,121,209,right,M-111531633bde9ad8,G-2ccde90eb9f77079,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。
S026,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,K519,西安培华学院,K51904,1,13,学前教育（师范类）,师范类相关,西安,民办-教育部备注民办,默认不进主方案-民办线索,优先了解-命中当前偏好方向,,pending_tuition_field_review,不限,22880,,2,专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,2,-27,-39,227,left,M-10a6246751b47695,G-1727b07b7b13c081,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
