院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,是否超预算机器初判,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,是否可低风险抽检,是否可作为机器初筛线索,PDF原页核验状态,湖北官方系统核验状态,高校官网来源状态,高校官网证据匹配状态,历史线索分层,同代码命中年份数,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID,机器核验下一步,人工核验下一步,不得进入原因,下一步
C116,湖北科技学院,C11610,3,50,人工智能（科创实验班）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,30,5200,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,32,-9,72,left,M-b8bfa2ffc75aca3d,G-dd3a962ec7b46b18,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C133,湖北师范大学,C13309,1,37,数学与应用数学（师范类）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,124,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,needs_official_plan_source_search,,H5-历史最高线高于等位分30分以上,2,33,29,78,left,M-7f8c86a8b8ba078b,G-9accb91da6381276,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C150,武汉商学院,C15004,1,42,软件工程（大一在马影河校区就读，大起在后官湖校区就读）,计算机类相关,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,58,5200,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_reusable_2026_hubei_plan_source,matched,H5-历史最高线高于等位分30分以上,3,36,-3,80,right,M-84ca8e8a7015890d,G-887faa839014956a,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
C133,湖北师范大学,C13311,1,56,地理科学（师范类）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,地理,34,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,needs_official_plan_source_search,,H5-历史最高线高于等位分30分以上,2,40,18,78,right,M-dca56a3923ddbf97,G-11ed5d53e5671f29,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
K179,成都师范学院,K17905,1,05,数字媒体技术院校专业组及专业代号,数字媒体技术,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,「化学,2,5200,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,needs_official_plan_source_search,no_school_source,H5-历史最高线高于等位分30分以上,3,40,26,212,right,M-b5b35c3f6ffedf7c,G-24ad0a9ce0e108f8,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C103,湖北大学,C10320,1,88,数学与应用数学（师范类；第一学年在武員校区；优秀学生可选拔至“强师实验班”）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,「化学,43,4500,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,68,50,66,right,M-810d3221f09f14ba,G-f0699a3a61efc437,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C103,湖北大学,C10316,1,74,软件工程（行业软件与开源技术创新实验班；第一学年在武昌校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,30,5850,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,86,75,66,left,M-53e006ce761c84b0,G-741babff43db4fa9,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C103,湖北大学,C10321,1,93,信息与计算科学（数据计算与大模型应用双学士学位培养项目；第一学年在武昌校区；“数学+软件工程“双学士学位复合型人才培养学生达到培养要求后，可获得本科毕业证书和相心双学士学位证书（理学学士、工学学士））,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,40,4500,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,95,41,66,right,M-99c3bd383474b33d,G-47a98bf82ea07e4b,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C103,湖北大学,C10322,1,97,信息安全（第一学年在武昌校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,63,5850,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,95,48,66,right,M-02e9e8885710414b,G-f01cb206c23c09ac,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
A032,北京语言大学,A03207,1,28,计算机类（计算机科学与技术、人工智数据科学与大数据技术、,计算机类相关,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,15,5500,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H5-历史最高线高于等位分30分以上,2,100,90,17,right,M-de9d7943a7d83f6f,G-a722ab9f822b7788,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
C103,湖北大学,C10313,1,50,汉语盲文学（师范类：优秀学生可选拔至”强师实验班”；办学地点：长江新区校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,不限,15,4500,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,102,75,66,left,M-f791ad5275f7fc33,G-f41f4a7842a1feb1,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
K151,成都理工大学,K15114,1,53,数字媒体技术（不能准确在显示器上识别红、黄、绿、蓝、紫各颜色中任何一种颜色的数码、字母者不能录取；宜宾校区就读）,数字媒体技术,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,2,6240,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,no_school_source,H5-历史最高线高于等位分30分以上,2,105,43,208,right,M-c7fca9efc240eb35,G-c0ac61e747e0bdfb,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
H001,杭州电子科技大学,H00103,1,10,管理科学与工程类（信息管理与信息系统、保密管理；办学地点：第一学年在绍兴校区，第二学年起在下沙校区）二数字经济（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）12 （工业工程（与计算机双学士学位；工业智能与决策管理（工业工程+计算机科...,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,不限,2,5300,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H5-历史最高线高于等位分30分以上,3,122,96,137,left,M-329b84e12d30efa3,G-e28c472fb913f1d6,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
C116,湖北科技学院,C11615,1,7,地理科学（师范类）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,地理,161,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H0-无同代码历史线索,0,,,72,right,M-de7cb07a0de0bd1b,G-26f0b5da6a6107ff,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
H576,南阳理工学院,H57613,1,25,软件工程（智能软件开发方向）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化和,3,12000,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,1,-19,-19,177,left,M-edf8665ccd9f1beb,G-f1282fdd04bf7b63,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
H781,嘉应学院,H78102,1,02,历史学（师范类；办学地点：第一学年在程江校区，第二至第四学年在江北校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,不限,2,5050,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,1,-11,-11,188,left,M-a5d49ea0f036ec60,G-704b0c4ef156d79c,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
K157,西昌学院,K15705,1,10,数学与应用数学（师范类：办学地点：,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,5,5980,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,2,-6,-19,210,right,M-95e06e6f0f724685,G-fcb6c0b7447f893d,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
K272,六盘水师范学院,K27203,1,03,生物科学（师范类）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,3,4200,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,2,-6,-15,216,left,M-4870082daedb4ea4,G-677684376bb18056,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
X450,新疆和田学院,X45003,1,05,小学教育（师范类；办学地点：昆仑路校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,不限,3,4500,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,2,-5,-22,239,right,M-3ff166c140257900,G-7ef81c0d448317b4,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
