个性化候选ID,候选主线,本轮分层,家庭讨论动作,是否进入本轮家庭讨论,是否可作为定稿依据,适配理由,关键风险,下一步核验动作,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,场景判断,场景内最低学费,场景内最高学费,预算内中外合作或高收费专业数,超过预算专业数,待核费用专业数,第19期页码,版面列,组内完整专业清单索引,专业组出现ID,来源表
PFITGROUP-0018ffdb2e88cb60,普通公办低费用主线,B-保底备选讨论,进入家庭讨论,true,false,湖北省内公办师范线，H2，若愿意了解教师路线可讨论。,组内有特殊限制待核，且师范意愿尚未完全明确。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C151,汉江师范学院,C15108,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,7,0,0,7,0,0,2,7,H2-历史最高线不高于等位分,1,-12,-12,,,,,,,81,left,1.24 科学教育（师范类：办学地点：校本部）[M-1589a255f636a226]；2.25 艺术教育（师范类：办学地点：校本部）[M-736a86a4c5d51281]；3.26 学前教育（师范类：办学地点：校本部不招色盲、色弱考生，详见院校章程）[M-1f67d3e4be6e37fa]；4.27 小学教育（师范类；办学地点：校本部）[M-ad6a3781f1eefcb1]；5.28 汉语言文学（师范类；办学地点：校本[M-90571045abefddcf]；6.29 葵语（师范类：办学地点：校本部：外语[M-4f302aff91d26658]；7.30 心理学（师范类：办学地点：校本部；不招色盲、色弱考生，详见院校章程）[M-3b5be7ce74eb3f8e],G-5522fc6f61f2fa08,round1普通主线
PFITGROUP-2b5a2b7312d51366,普通公办低费用主线,B-保底备选讨论,进入家庭讨论,true,false,H2，数学/生物师范与物联网方向可作保底讨论。,城市远，冶金等非偏好专业需接受。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K272,六盘水师范学院,K27203,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,1,2,0,0,0,4,H2-历史最高线不高于等位分,2,-6,-15,,,,,,,216,left,1.03 生物科学（师范类）[M-4870082daedb4ea4]；2.04 数学与应用数学（师范类）[M-7d636a3b9a9668cc]；3.05 治金工程[M-74e9b3119736d79c]；4.06 物联网工程[M-1292154662be557e],G-677684376bb18056,round1普通主线
PFITGROUP-36a0b2258b9aabd7,普通公办低费用主线,B-保底备选讨论,进入家庭讨论,true,false,H2，通信、物联网方向，组小。,需核产教融合或合作班性质、费用和培养模式。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K757,新疆工程学院,K75703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,2,H2-历史最高线不高于等位分,1,-10,-10,,,,,,,236,left,1.18 通信工程（信息技术产教融合合作班）[M-035c4f5d91c7073c]；2.19 物联网工程（信息技术产教融合合作[M-c970f193141878c5],G-ea5ee122c9d296aa,round1普通主线
PFITGROUP-70a7a25b452e90bd,普通公办低费用主线,C-冲刺观察讨论,进入家庭讨论,true,false,武汉公办，计算机、软件、物联网、人工智能、电子信息等方向强匹配。,H4，历史最高线高于等位分较多，只能作为冲刺观察。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C128,湖北经济学院,C12815,15,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,6,0,6,0,0,0,0,8,H4-历史最高线高于等位分16-30分,2,18,-21,,,,,,,75,right,1.A0 数据科学与大数据技术[M-80e5e29500906fcd]；2.A1 统计学（经济大数据分析实验班）[M-bdb8c648f4fcd287]；3.A2 电子信息工程[M-23980bd85457c053]；4.A3 软件工程[M-1efaea54a448afe9]；5.A4 物联网工程[M-9650b0c5e148971f]；6.A5 计算机科学与技术[M-49578478eb5bd746]；7.AG 人工智能[M-31b4a981d33cd17a]；8.A7 统计学[M-49bf19206098beca],G-a8d2bae2fc9bc289,round1普通主线
PFITGROUP-a7a2e975f8f2f941,普通公办低费用主线,C-冲刺观察讨论,进入家庭讨论,true,false,电子信息/计算机口碑线索较强，计算机、软件、智能科学、网安方向贴合。,H4 且最高差较高，冲刺属性强，不能占稳保位置。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,H892,桂林电子科技大学,H89207,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,4,H4-历史最高线高于等位分16-30分,1,28,28,,,,,,,195,right,1.15 计算机科学与技术（办学地点：花江校[M-82aeaf82de038a5b]；2.16 软件工程（办学地点：花江校区）[M-8e13c21a3e4e8076]；3.17 智能科学与技术（办学地点：花江校[M-8c17d2194b6b6a31]；4.18 网络空间安全（办学地点：花江校区）[M-a4cbc4a4d0fdb020],G-417e0ee6247dac7a,round1普通主线
PFITGROUP-393812752295d9f4,普通公办低费用主线,C-城市专业观察,进入家庭讨论,true,false,成都优先城市，数字媒体、软件、计算机、信息安全、人工智能等方向高度贴合。,H0 缺同代码历史线索，且 22 专业大组内非偏好专业多，需优先补历史映射。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K153,成都信息工程大学,K15306,06,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,7,1,6,0,0,0,0,22,H0-无同代码历史线索,0,,,,,,,,,209,right,1.13 大气科学（办学地点：航空港校区）[M-eb78e1c31fae9e22]；2.14 应用气象学（办学地点：航空港校区）[M-4d07d36dc438349c]；3.15 电子信息工程（办学地点：航空港校[M-8281eec06d651680]；4.16 通信工程（办学地点：航空港校区）[M-38fceae625805a27]；5.17 集成电路设计与集成系统（办学地点：航空港校区）[M-9bc8176e8a744551]；6.18 测绘工程（办学地点：航空港校区）[M-64c9412f5ae649f9]；7.19 逻感科学与技术（办学地点：航空港校[M-912162e2ec586cf5]；8.20 光电信息科学与工程（办学地点：航空港校区）[M-c7159e014f39d9d4]；9.21 包象技术与工程（办学地点：航空港校[M-946c01fc445f6eb2]；10.22 电气工程及其自动化（办学地点：航空港校区）[M-117fada549583ed3]；11.23 自动化（办学地点：航空港校区）[M-1e39bff3f35b543d]；12.24 机器人工程（办学地点：航空港校区）[M-0aea883663b5fb39]；13.25 计算机科学与技术（办学地点：航空港校区）[M-11e163bdfc3a6f22]；14.26 数字媒体技术（办学地点：航空港校[M-86d92f5ab218e665]；15.27 智能科学与技术（办学地点：航空港校[M-58247d316dbd31bb]；16.28 软件工程（办学地点：航空港校区）[M-fb563329ce0a0265]；17.29 信息安全（办学地点：航空港校区）[M-e2879b097d059aee]；18.30 婆产与应用数学（办学地点：航空港校[M-026664ca0517a54d]；19.31 信息与计算科学（办学地点：航空港校区）[M-8aed30091b7482da]；20.32 密码科学与技术（办学地点：航空港校区）[M-1658de39926b83b3]；21.33 人工智能（办学地点：航空港校区）[M-f928884575f48530]；22.34 统计学（办学地点：龙泉校区）[M-9fca06fa12968fc6],G-e377a7e078e92213,round1普通主线
PFITGROUP-51241033e697de35,普通公办低费用主线,C-城市专业观察,进入家庭讨论,true,false,西安优先城市，软件、智能科学、人工智能三项集中。,H0 缺历史映射，需核是否新组、计划数和近年替代组。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K469,西安工程大学,K46904,04,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,3,H0-无同代码历史线索,0,,,,,,,,,224,right,1.04 软件工程[M-8ac8b80800dc322d]；2.05 智能科学与技术[M-2da7b9b5c8340c63]；3.06 人工智能[M-3adf896aa008b309],G-6638956730b81621,round1普通主线
PFITGROUP-9f5919073ef1a831,普通公办低费用主线,C-城市专业观察,谨慎进入家庭讨论,true,false,西安优先城市，软件、物联网、电子信息方向。,H4 且结构边界需核，需确认没有串校或串组。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K481,西安文理学院,K48103,03,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,2,0,2,0,0,0,0,3,H4-历史最高线高于等位分16-30分,2,28,28,,,,,,,225,right,1.03 软件工程（办学地点：高新校区）[M-2a7997e8e43e3817]；2.04 物联网工程（办学地点：高新校区）[M-8bf22d5f318436d5]；3.05 电子信息工程（办学地点：高新校区）K482榆林大学（公办）（陕西）[M-373c8a620fb6359d],G-59cc65da1e42ff02,round1普通主线
PFITGROUP-d57ad24f752d5726,普通公办低费用主线,D-谨慎核验后再讨论,暂缓进入家庭讨论,false,false,计算机、数据科学、物联网、智能科学、自动化、机器人方向密集，H2。,结构边界异常，必须先重读原页。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F313,山西工程技术学院,F31303,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,4,0,4,0,0,0,0,15,H2-历史最高线不高于等位分,3,-4,-11,,,,,,,110,left,1.06 材料成型及控制工程[M-a3fada79b4cc9d36]；2.07 材料科学与工程[M-38c2c18305985ded]；3.08 无机非金属材料工程[M-3ce059a07916b758]；4.09 计算机科学与技术[M-71340f7d7ebbd23f]；5.10 数据科学与大数据技术[M-4fa6db8bafa7007e]；6.11 物联网工程[M-be9c928ff95d1826]；7.12 智能科学与技术[M-509bf5722b5c90b6]；8.13 逼感科学与技术[M-8169cadd3518a559]；9.14 电气工程及其自动化[M-b195fca807aa1d4f]；10.15 自动化[M-e17ba9075c780d66]；11.16 机械设计制造及其自动化[M-55be403a36d57f45]；12.17 智能制造工程[M-f871745fab7fdbc4]；13.18 机器人工程[M-aa0e1b058e5ebb48]；14.19 应急装备技术与工程[M-d11a6dcaf3b55217]；15.20 电气工程与智能控制F314山西能源学院（公办）（山西）[M-440d0d1899bba201],G-f00ad59bf89d790b,round1普通主线
PFITGROUP-d7d6141a58b764c4,普通公办低费用主线,D-谨慎核验后再讨论,暂缓进入家庭讨论,false,false,网络、数据科学、物联网、集成电路方向可讨论，H2。,OCR 串页或组边界风险，先核第 19 期原页。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K585,兰州工业学院,K58501,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,10,H2-历史最高线不高于等位分,3,0,-14,,,,,,,230,right,1.01 测控技术与仪器[M-df09ffa262060523]；2.02 轨道交通信号与控制[M-6785aa70ea8e47e2]；3.03 网络工程[M-5ee40aa8aef3f727]；4.04 数据科学与大数据技术[M-3e581bfd0a65da29]；5.05 土木工程[M-78cd577ab9f0ce92]；6.06 物联网工程[M-5ba349232b5e6527]；7.07 集成电路设计与集成系统[M-b87c2f64a66234fb]；8.08 汽车服务工程[M-b9971eaed464b095]；9.09 新能源汽车工程[M-66d11ee8a4ac47d8]；10.10 复合材料与工程K586 兰州资源环境职业技术大学（公办）（甘[M-9484f4dfc7278f40],G-fc1a400fe1a672b8,round1普通主线
PFITGROUP-b7eddfe4a167b35c,普通公办低费用主线,D-谨慎核验后再讨论,暂缓进入家庭讨论,false,false,计算机与师范方向都较多，H3。,18 专业大组，特殊限制和语种限制待核，调剂风险较大。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,H135,淮南师范学院,H13502,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,10,0,4,6,0,0,2,18,H3-历史最高线高于等位分15分内,3,5,-9,,,,,,,146,left,1.06 英语（师范类：外语语种：英语；办学地点：泉山校区）[M-1d97958004dc7fbb]；2.07 应用心理学（办学地点：泉山校区）[M-4ec638570922dd68]；3.08 商务英语（外语语种：英语；办学地点：泉山校区）[M-d17b307baa2eafce]；4.09 金融工程（办学地点：泉山校区）[M-7bcbe12d2d9f4b05]；5.10 会计学（办学地点：泉山校区）皿13503 淮南师范学院第 03组[M-8a5d62a2b8e9e4e8]；6.11 储能科学与工程（办学地点：泉山校[M-3569a8bffbb43383]；7.12 光电信息科学与工程（办学地点：泉山校区）[M-22d1799a36fea70f]；8.13 集成电路设计与集成系统（办学地点：泉山校区）[M-fcde1cb3eb9f7b5b]；9.14 计算机科学与技术（办学地点：泉山校[M-e6f585c7aac4e4ce]；10.15 网络工程（办学地点：泉山校区）[M-d5681cb0f5469fc4]；11.16 物联网工程（办学地点：泉山校区）[M-bfa1670af4889e08]；12.17 智能科学与技术（办学地点：泉山校[M-6c9887b5978c5024]；13.18 化学工程与工艺（办学地点：泉山校[M-b3d3e752c9682ea8]；14.19 生物工程（办学地点：泉山校区）[M-41ef058ce047c63f]；15.20 数学与应用数学（师范类；办学地点：泉山校区）[M-b403d38e273bd5e7]；16.21 物理学（师范类：办学地点：泉山校区）[M-1683c9a745c19163]；17.22 化学（师范类；办学地点：泉山校区）[M-1d68937ff21b5d6e]；18.23 生物科学（师范类；办学地点：泉山校H137 安徽建筑大学（公办）（安徽）[M-de3ccb0cb3f2da53],G-94a0d9f67cd17d37,round1普通主线
