第四轮候选ID,讨论集合,城市,冲稳保,院校代码,院校名称,院校专业组代码,专业组内专业序号,专业代号,专业名称及备注,专业偏好方向,第四轮方向标签,专业角色判断,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R4GROUP-e8fdcb46a7945cf8,主线可能够得着全集,绥化市,稳妥观察,F698,绥化学院,F69803,1,03,英语（师范类；外语语种：不限）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,语种或单科限制,,,3,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-12,-20,126,right,M-53e70559152b1bb8,G-678fa73ef9f30d31
R4GROUP-f1a12c8b86af8d03,主线可能够得着全集,咸阳市,稳妥观察,K474,咸阳师范学院,K47403,1,05,物理学（师范类：办学地点：渭城校区）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,2,5250,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-11,-11,225,right,M-626aad240271a2b9,G-412157992c51ccf7
R4GROUP-f1a12c8b86af8d03,主线可能够得着全集,咸阳市,稳妥观察,K474,咸阳师范学院,K47403,2,06,化学（师范类；办学地点：渭城校区）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,2,5250,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-11,-11,225,right,M-304c50aa6663aa80,G-412157992c51ccf7
R4GROUP-f1a12c8b86af8d03,主线可能够得着全集,咸阳市,稳妥观察,K474,咸阳师范学院,K47403,3,07,数据科学（办学地点：滑城校区）K475 渭南师范学院（公办）（陕西）,计算机类相关；师范类相关,计算机AI软件；计算机类相关；师范类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,2,6000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-11,-11,225,right,M-99a6f2238b6d4710,G-412157992c51ccf7
R4GROUP-43c134ebd7373716,主线可能够得着全集,达州市,稳妥观察,K167,四川文理学院,K16705,2,08,水质科学与技术（办学地点：南坝校K169 乐山师范学院（公办）（四川）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,3,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-10,-10,212,left,M-6e0b387b6ba37929,G-0f4b397fa17df7ce
R4GROUP-3747b5d7c94014ab,主线可能够得着全集,贵阳市,稳妥观察,K271,贵阳学院,K27105,3,09,数学与应用数学（师范类；报考数学与应用数学专业，数学单科成绩须不低于90分（满分150分））K272六盘水师范学院（公办）（贵州）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,语种或单科限制,,2,4200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-10,-10,216,left,M-3e759d1b15ca1c8b,G-4532ad9f9945f145
R4GROUP-7bfdfb47f13fc8af,主线可能够得着全集,长春市,稳妥观察,F591,长春师范大学,F59103,2,09,化学（师范类；不招色盲色弱；办学地,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,体检或色觉限制,,,5500,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-8,121,right,M-53f1d25a8d1fb048,G-1a9760fa8b21a464
R4GROUP-7bfdfb47f13fc8af,主线可能够得着全集,长春市,稳妥观察,F591,长春师范大学,F59103,3,10,生物科学（师范类；办学地点：长吉校卫物理学（师范类；办学地点：长吉校区）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,,5500,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-8,121,right,M-f1041769e2af21bc,G-1a9760fa8b21a464
R4GROUP-b5d203366a136961,主线可能够得着全集,信阳市,稳妥观察,H556,信阳师范大学,H55603,1,03,物联网工程（不招单色识别不全；办学地点：谭山校区）H557 周口师范学院（公办）（河南）,计算机类相关；师范类相关,电子信息网络；计算机AI软件；计算机类相关；师范类相关,主线偏好-计算机/数字媒体,暂缓判断-特殊限制待核,体检或色觉限制,,5,12000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-8,175,left,M-ecfdf722c701e188,G-60a9cafdb1e49127
R4GROUP-78e80fb428e87d9a,主线可能够得着全集,黄冈市,稳妥观察,C118,黄冈师范学院,C11814,1,74,地理科学（师范类）C125 武汉轻工大学（公办）（湖北）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,47,4000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-7,-7,73,right,M-59335c6d2506ec84,G-9e1a6b849502e148
R4GROUP-3647cf6fb3b88ac1,主线可能够得着全集,河池市,稳妥观察,H901,河池学院,H90105,2,07,数据科学与大数据技术（不招色盲；办学地点：龙江校区）H902 玉林师范学院（公办）（广西）,计算机类相关；师范类相关,计算机AI软件；计算机类相关；师范类相关,主线偏好-计算机/数字媒体,暂缓判断-特殊限制待核,体检或色觉限制,,4600,,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-7,-9,197,left,M-b47acdedea5260b9,G-ef864e0da83d8527
R4GROUP-b253947126d37587,主线可能够得着全集,毕节市,稳妥观察,K266,贵州工程应用技术学院,K26602,4,06,计算机科学与技术K267 凯里学院（公办）（贵州）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,2,4200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-7,-18,215,right,M-9388bcf639ed68fe,G-aa12a9371ac19ebf
R4GROUP-2bfc754662b278ef,主线可能够得着全集,通化市,稳妥观察,F588,通化师范学院,F58803,1,06,数据科学与大数据技术（办学地点：通化育才校区）F589 吉林师范大学（公办）（吉林）,计算机类相关；师范类相关,计算机AI软件；计算机类相关；师范类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,［化学,2,5400,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-6,-7,121,left,M-085b27da835ba81b,G-91cea5c5a81ba647
R4GROUP-994674e428bcb841,主线可能够得着全集,楚雄彝族自治州,稳妥观察,K362,楚雄师范学院,K36204,1,10,思想政治教育（师范类）院校专业组及专业代号,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,政治,,3,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-6,-6,220,right,M-210be8159546bc96,G-2640247c91fc6979
R4GROUP-ec87c8d7a730d9ae,主线可能够得着全集,兰州市,稳妥观察,K583,兰州文理学院,K58302,1,02,数据科学与大数据技术K584甘肃医学院（公办）（甘肃）資高院校孝业组及专业代号,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,默认不能接受-医学护理等排除方向,医学/护理等排除方向,化学,,5600,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-4,-7,230,left,M-f3d11c2b8511f435,G-fce961b813207b3f
R4GROUP-103ee2b5e642f511,主线可能够得着全集,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,8,67,计算机科学与技术（智能软件）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,49,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,77,right,M-6c80adf580311506,G-c60fd32db2360718
R4GROUP-103ee2b5e642f511,主线可能够得着全集,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,9,68,计算机科学与技术（大数据技术）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,244,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,77,right,M-5bddebcd50feb72b,G-c60fd32db2360718
R4GROUP-103ee2b5e642f511,主线可能够得着全集,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,10,69,信息安全（智能汽车安全）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,65,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,77,right,M-0d56d3aa94ba06f9,G-c60fd32db2360718
R4GROUP-103ee2b5e642f511,主线可能够得着全集,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,11,70,智能科学与技术（智能网联）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,66,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,77,right,M-e82b18054b0ea501,G-c60fd32db2360718
R4GROUP-103ee2b5e642f511,主线可能够得着全集,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,12,71,智能科学与技术（智能汽车）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,54,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,77,right,M-58dc6a81dd16c9d8,G-c60fd32db2360718
R4GROUP-103ee2b5e642f511,主线可能够得着全集,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,14,73,数学与应用数学（智能科学）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,54,4000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,77,right,M-4a0ece0eee9ba76c,G-c60fd32db2360718
R4GROUP-103ee2b5e642f511,主线可能够得着全集,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,15,74,数据科学与大数据技术,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,［化学,63,5200,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,77,right,M-4efc34fbf540cd09,G-c60fd32db2360718
R4GROUP-96182b90f604e887,主线可能够得着全集,唐山市,稳妥观察,F191,唐山师范学院,F19102,1,02,英语（师范类；外语语种：英语）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,语种或单科限制,,,4900,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-4,101,right,M-aa736a45adb907e7,G-403fd8b65e53e9b8
R4GROUP-f1aeb3751dfacdb1,主线可能够得着全集,唐山市,稳妥观察,F191,唐山师范学院,F19103,2,05,应用化学（色弱、色盲者，不能准确设兰、紫各种颜色中何一种颜色的导线、按键、信号灯、几何图形者不予录取）P192 廊坊师范学院（公办）（河北）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,体检或色觉限制,,,4900,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-18,101,right,M-fa99d4f1e548900a,G-77080bcb3316994e
R4GROUP-49b05b11ef43915d,主线可能够得着全集,运城市,稳妥观察,F304,运城学院,F30401,2,02,化学（师范类）F305忻州师范学院（公办）（山西）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,20,5040,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-19,109,left,M-1193f8419b79ef3c,G-380f4637413eb066
R4GROUP-633dfd69497b6933,主线可能够得着全集,吉林市,稳妥观察,F584,吉林化工大学,F58402,36,46,人工智能（办学地点：丰满校区）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,2,5940,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,120,right,M-ca94652ce760ec15,G-f0c78c9f5e3ad64c
R4GROUP-633dfd69497b6933,主线可能够得着全集,吉林市,稳妥观察,F584,吉林化工大学,F58402,37,47,计算机科学与技术（办学地点：丰满校,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,2,5400,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,120,right,M-c68ca3bc7ad8f085,G-f0c78c9f5e3ad64c
R4GROUP-633dfd69497b6933,主线可能够得着全集,吉林市,稳妥观察,F584,吉林化工大学,F58402,38,48,数据科学与大数据技术（办学地点：丰满校区）F585 吉林农业大学（公办）（吉林）,计算机类相关,农业动医兽医；计算机AI软件；计算机类相关,可了解-农业相关,优先了解-命中当前偏好方向,,,1,5400,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-5,120,right,M-d0e59a1154cd46a5,G-f0c78c9f5e3ad64c
R4GROUP-265a315eff480d0c,主线可能够得着全集,萍乡市,稳妥观察,H326,萍乡学院,H32602,4,06,环境科学与工程H327 江西科技师范大学（公办）（江西）,师范类相关,师范类相关；环境工程科学,可了解-师范,优先了解-命中当前偏好方向,,,2,4120,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-11,159,right,M-7456fc8621e6c2ca,G-f21ad57f496d2c62
R4GROUP-5b423f5388667736,主线可能够得着全集,河池市,稳妥观察,H901,河池学院,H90104,1,05,化学（师范类；不招色盲、色弱：办学地点：龙江校区）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,体检或色觉限制,化学,4600,,2,专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-17,197,left,M-0443c9d770252a00,G-f863a499d9967f91
R4GROUP-b9ca666dbda3f639,主线可能够得着全集,梧州市,稳妥观察,H906,梧州学院,H90603,8,15,通信工程H907 广西科技师范学院（公办）（广西）,师范类相关,师范类相关；电子信息网络,主线偏好-工科信息制造,优先了解-命中当前偏好方向,,,2,4594,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-17,197,right,M-1480a0b6edf50e45,G-cbfe8c3f3a1ec9f7
R4GROUP-dfb2c46f99a57e42,主线可能够得着全集,楚雄彝族自治州,稳妥观察,K362,楚雄师范学院,K36205,1,11,地理科学（师范类：色育及不能准确识别颜色者不予录取）K363 云南警官学院（公办）（云南）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,体检或色觉限制,,2,5000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-4,221,left,M-dfb829d34ba26255,G-fc455a6718802650
R4GROUP-3d290a431cb6510e,主线可能够得着全集,孝感市,稳妥观察,C127,湖北工程学院,C12708,3,38,计算机科学与技术,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,化学,85,5200,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-2,75,left,M-cb7f7e15b22970ee,G-a992f7638048133d
