志愿序号,草案梯度,讨论批次,二次核验优先级,是否进入主草表,是否可作为定稿依据,推荐进入原因,核心风险,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,历史线索分层,历史最高等位分差,历史最低等位分差,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,专业明细行数,建议专业1,建议专业2,建议专业3,建议专业4,建议专业5,建议专业6,组内待确认专业摘录,服从调剂草案,二次核验动作,第19期页码,版面列,专业组出现ID,来源候选层
11,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,命中方向：计算机/AI/软件3个、师范2个；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,C118,黄冈师范学院,C11810,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,27,-7,4,0,3,2,5,51 计算机科学与技术（师范类）,50 数据科学与大数据技术,52 软件工程,48 数学与应用数学（师范类）,49 信息与计算科学,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,73,right,G-6d6a8f20ef5045db,round2-updated-preferences
12,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,命中方向：计算机/AI/软件3个、工商/旅游管理2个；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,C128,湖北经济学院,C12812,12,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,30,10,3,0,3,0,20,73 财政学（大数据与财税治理实验班）,79 大数据管理与应用,67 金融学（计算机金融实验班）,75 审计学,76 财务管理,65 经济学,66 金融学(字段缺口待核)；68 金融学（拔尖创新人才培育试验计划）(字段缺口待核)；69 金融工程(字段缺口待核)；70 投资学(字段缺口待核)；71 保险学(字段缺口待核)；72 財政学(字段缺口待核)；74 税收学(字段缺口待核)；77 信息管理与信息系统(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,75,left,G-296dcea95f5cd502,round2-updated-preferences
13,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,命中方向：计算机/AI/软件1个、电子/网络3个、机械/自动化/机器人2个；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,A223,大连民族大学,A22303,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,26,17,1,0,1,0,8,07 软件工程（办学地点：金石滩校区）,09 电子信息工程（办学地点：开发区校,11 光电信息科学与工程（办学地点：开发区校区）,12 电子信息材料（新工科实验班；办学地点：开发区校区）,05 自动化（办学地点：金石滩校区）,06 机器人工程（办学地点：金石滩校区）,08 去本工程（新工科实验班；办学地点：(字段缺口待核)；10 通億工程（新工科实验班：办学地点：开发区校区）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,59,right,G-bf49a3052af9e609,round2-updated-preferences
14,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,命中方向：计算机/AI/软件1个、电子/网络2个、机械/自动化/机器人3个；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,H911,桂林航天工业学院,H91103,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,27,20,1,0,1,0,9,13 物联网工程,09 电子信息工程,05 机械设计制造及其自动化,06 机械电子工程,08 智能制造工程,07 材料成型及控制工程,10 测控技术与仪器(字段缺口待核)；11 新能源汽车工程(字段缺口待核)；12 建筑环境与能源应用工程(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,198,right,G-cd82ec5e0da1f9a0,round2-updated-preferences
15,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,命中方向：计算机/AI/软件2个、电子/网络2个、师范2个、环境1个、农业2个；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K002,海南热带海洋学院,K00205,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,29,6,4,0,2,2,21,24 网络工程（办学地点：三亚校区）,23 计算机科学与技术（不招单色识别不全者：办学地点：三亚校区）,22 通信工程（办学地点：三亚校区）,14 数学与座用数学（师范类；办学地点：三亚校区）,16 物理学（师范类：办学地点：三亚校区）,27 环境工程（不报色弱、色真、单色识别不全者；办学地点：三亚校区）,15 数据计算及应用（办学地点：三亚校(字段缺口待核)；17 化学（不招色弱、色盲、单色识别不全者：办学地点：三亚校区(字段缺口待核)；18 海洋科学（不招色弱、色盲、单色识别不全者；办学地点：三亚校区）(字段缺口待核)；19 海洋技术（不招色弱、色盲、單色识别院校(字段缺口待核)；1 组及专业代号不全者；办学地点：三亚校区）(字段缺口待核)；20 生物科学（不招色弱、色真、单色识别不全者：办学地点：三亚校区）(字段缺口待核)；21 生物技术（不招色弱、色育、单色识别不全者：办学地点：三亚校区）(字段缺口待核)；25 轮机工程（陆上方向；无红绿色宜，无复热身高 155cm 及以上，双眼操视力均能达到4.6（0.4）及以上；或双眼棵秘力均能到40（0.1）及以上，且矫正视力均能达到4.6（0.4）及以上；办学地点：三亚校区）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,200,right,G-401bc94e6f16cf6b,round2-updated-preferences
16,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,湖北省内公办，信息与计算、大数据、人工智能等方向贴近，H3 稳冲。,需核创新班、计划数、专业代号和近三年同组稳定性。,C138,湖北理工学院,C13810,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,2,-10,4,0,4,0,5,49 信息与计算科学（大数据安全方向）,51 数据科学与大数据技术,53 人工智能（创新实验班）,52 人工智能,50 应用物理学（集成电路方向、光电信息科学方向）,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,79,right,G-a289e7d54bd0da07,personal-fit-v1+round2-updated-preferences
17,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,命中方向：计算机/AI/软件4个、电子/网络3个、机械/自动化/机器人4个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,A207,北方民族大学,A20711,11,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,5,-3,4,0,4,0,12,62 网络工程,61 软件工程,63 智能科学与技术,60 计算机科学与技术,55 电子信息工程,56 通信工程,52 测控技术与仪器(调剂接受度待判断)；53 电气工程及其自动化(主线偏好-工科信息制造)；54 自动化(主线偏好-工科信息制造)；57 机械设计制造及其自动化(主线偏好-工科信息制造)；58 机械电子工程(主线偏好-工科信息制造)；59 工业设计(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,58,left,G-dc7eeee5a09ec904,round2-updated-preferences
18,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,计算机与师范方向都较多，H3。,18 专业大组，特殊限制和语种限制待核，调剂风险较大。,H135,淮南师范学院,H13502,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,5,-9,10,0,4,6,18,15 网络工程（办学地点：泉山校区）,16 物联网工程（办学地点：泉山校区）,17 智能科学与技术（办学地点：泉山校,14 计算机科学与技术（办学地点：泉山校,10 会计学（办学地点：泉山校区）皿13503 淮南师范学院第 03组,12 光电信息科学与工程（办学地点：泉山校区）,06 英语（师范类：外语语种：英语；办学地点：泉山校区）(可了解-师范)；07 应用心理学（办学地点：泉山校区）(字段缺口待核)；08 商务英语（外语语种：英语；办学地点：泉山校区）(字段缺口待核)；09 金融工程（办学地点：泉山校区）(字段缺口待核)；11 储能科学与工程（办学地点：泉山校(调剂接受度待判断)；13 集成电路设计与集成系统（办学地点：泉山校区）(主线偏好-工科信息制造)；18 化学工程与工艺（办学地点：泉山校(字段缺口待核)；19 生物工程（办学地点：泉山校区）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,146,left,G-94a0d9f67cd17d37,personal-fit-v1+round2-updated-preferences
19,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,湖北省内公办，信息安全、计算机、电子、智能制造等方向可讨论，H3 贴线。,偏贴线，组内非计算机方向也不少，需做整组接受度判断。,C129,湖北民族大学,C12903,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,1,1,2,0,2,0,9,17 信息安全,22 计算机科学与技术,24 光电信息科学与工程,16 电子信息工程,18 智能制造工程,21 电气工程及其自动化,19 数学与应用数学(字段缺口待核)；20 统计学(字段缺口待核)；23 物理学(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,75,right,G-941db55ee939c751,personal-fit-v1+round2-updated-preferences
20,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,湖北省内公办，数据科学、人工智能、软件、网络空间安全方向贴合，H3。,带稳冲属性，需确认计划数和网络空间安全方向接受度。,C127,湖北工程学院,C12706,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,8,-21,3,0,3,0,5,28 数据科学与大数据技术,29 人工智能,30 软件工程,31 网络空间安全,27 数学与应用数学,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,74,right,G-25242282690fb171,personal-fit-v1+round2-updated-preferences
21,稳冲,B2-稳冲主线批,V0-先核结构边界和历史映射,true,false,含数字媒体、人工智能、计算机、数据科学、自动化、电子等方向，H3。,结构边界异常，统计/安全/应急方向是否接受待判断。,H450,山东工商学院,H45004,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,10,5,4,1,3,0,16,48 数字媒体技术,53 数据科学与大数据技术,40 人工智能,47 计算机科学与技术,45 电子信息工程,46 通信工程,39 统计学(字段缺口待核)；41 数学与应用数学(字段缺口待核)；42 应用统计学(字段缺口待核)；43 自动化(主线偏好-工科信息制造)；44 电气工程及其自动化(主线偏好-工科信息制造)；49 安全工程(字段缺口待核)；50 应急技术与管理(字段缺口待核)；51 数据计算及应用(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,169,right,G-69a8112ee16cf2ba,personal-fit-v1+round2-updated-preferences
22,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,湖北省内公办，软件、物联网、电子信息方向可讨论，H3。,组内车辆/交通方向较多，需要判断是否愿意服从调剂。,C126,湖北文理学院,C12610,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,13,4,2,0,2,0,9,44 物联网工程（办学地点：隆中校区）,43 软件工程（办学地点：隆中校区）,42 电子信息类（含电子信息工程、通信工程专业；办学地点：隆中校区）,39 机械类（含机械设计制造及其自动化留能制造工程专业；办学地点：隆中衣区）,38 签堂器（含数学与应用数学、数据计算及应用专业；办学地点：隆中校区）,40 车辆工程（新能源汽车；办学地点：隆中校区）,41 智能车辆工程（办学地点：隆中校区）(字段缺口待核)；45 交通设备与控制工程（办学地点：隆中校区）(字段缺口待核)；46 智慧交通（办学地点：隆中校区）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,74,right,G-cad29fb7a08fd6ae,personal-fit-v1+round2-updated-preferences
