来源期号,来源PDF_SHA256,数据阶段,最终可用,关联类型,关联原候选,2026院校专业组代码,组内序号,证据来源,院校代码,院校名称OCR,来源页码,页图文件名,专业组名称,专业代号,专业名称及备注,再选科目候选,专业计划数候选,学费候选,学费数字候选,偏好方向,风险类型,字段完整性标记,结构异常规则ID,结构异常类型,专业接受度机器初判,机器初判原因,专业接受度人工确认,专业闸门状态,专业字段复核状态,专业代号核验状态,专业名称核验状态,计划数核验状态,学费核验状态,选科核验状态,备注核验状态,原PDF页字段核验状态,湖北官方系统字段核验状态,高校章程字段核验状态,是否可能导致不能服从调剂,是否允许进入最终专业列表,阻断原因,风险说明,升级缺口,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉体育学院 C10704 第04组,C10704,3,page_visual_review_seed,C107,武汉体育学院,69,page-069.png,武汉体育学院第04组,14,数据科学与大数据技术,化学,7,4000,4000,计算机类相关,,,,,重点了解,计算机类相关,pending_family_acceptance_review,pending_verification,pending_page_visual_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,同页相邻风险组,武汉体育学院 C10703/C10704 同页边界复核,C10705,1,page_visual_review_seed,C107,武汉体育学院,69,page-069.png,武汉体育学院第05组,15,康复治疗学（中外合作办学）,化学,7,48000,48000,,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,,,,默认不能接受,命中医学/护理等当前明确排除方向,pending_family_acceptance_review,pending_verification,pending_page_visual_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,是,false,命中医学/护理等当前明确排除方向,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,1,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,46,化学工程与工艺,,77,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,2,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,47,功能材料,,43,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,3,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,48,机械类（含机械设计制造及其自动化、智能制造工程专业）,,312,5200,5200,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,4,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,49,食品科学与工程类（含食品科学与工得、食品质量与安全、粮食工程、食品营养与健康专业）,,343,5200,5200,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,5,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,50,康复治疗学,,37,4000,4000,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,默认不能接受,命中医学/护理等当前明确排除方向,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,是,false,命中医学/护理等当前明确排除方向,医学/护理等排除方向,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,6,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,51,药学,,70,4000,4000,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,默认不能接受,命中医学/护理等当前明确排除方向,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,是,false,命中医学/护理等当前明确排除方向,医学/护理等排除方向,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,7,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,52,生物技术,,75,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,8,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,53,生物工程类（含生物工程、合成生物学专业）,,74,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,9,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,54,制药工程,,80,4000,4000,,医学/护理等排除方向,missing_subject_candidate,,,默认不能接受,命中医学/护理等当前明确排除方向,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,是,false,命中医学/护理等当前明确排除方向,医学/护理等排除方向,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,10,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,55,生物信息学,,80,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,11,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,56,动物科学,,51,3000,3000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,12,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,57,动物药学,,24,3000,3000,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,默认不能接受,命中医学/护理等当前明确排除方向,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,是,false,命中医学/护理等当前明确排除方向,医学/护理等排除方向,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,13,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,58,水产养殖学,,31,3000,3000,,,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,字段异常待核验,命中 OCR 结构异常，需回看原页,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,14,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,59,应用生物科学,,35,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,15,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,60,护理学,,50,4000,4000,,医学/护理等排除方向,missing_subject_candidate,,,默认不能接受,命中医学/护理等当前明确排除方向,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,是,false,命中医学/护理等当前明确排除方向,医学/护理等排除方向,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,16,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,61,环境工程,,49,4000,4000,,,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,字段异常待核验,命中 OCR 结构异常，需回看原页,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,17,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,62,包装工程,,40,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,18,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,63,士木类（含土木工程、智能建造专业）,,80,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,19,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,64,机器人工程,,55,4000,4000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,20,full_ocr_draft,C125,武汉轻工大学,74,page-074.png,C12508/武汉轻工大学第 08 组,65,动物科学（伴侣动物方向）,,26,3000,3000,,,missing_subject_candidate,,,待了解,尚未命中明确偏好或硬排除，需要家庭继续判断,pending_family_acceptance_review,pending_verification,pending_ocr_anomaly_field_review,pending,pending,pending,pending,pending,pending,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,待判断,false,,,原PDF页字段核验；湖北官方计划字段核验；高校章程字段核验；家庭专业接受度确认；OCR异常修正,逐字段回看原页；核湖北官方计划和高校章程；由家庭确认专业接受度
