G0冲突字段补证执行波次公开账本ID,来源G0冲突字段补证缺口任务公开账本,来源G0冲突字段补证缺口页列通道汇总,来源G0冲突字段补证缺口摘要,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,波次包序号,执行波次序号,执行波次,波次类型,波次前置条件,波次准出条件,波次当前执行状态,是否当前可并行推进,页码版面键,来源页码,版面列,缺口任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,证据通道分布,字段名分布,当前通道状态分布,当前阻断桶分布,补证执行优先级分布,补证执行泳道分布,可并行执行任务数,待前置闭环任务数,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,缺口任务集合SHA256,闭环结果集合SHA256,波次下一步动作,公开安全策略
G0FIELDGAPWAVE-db2fee808b0c004b,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,11,W1,双人复核,冲突字段双人复核,需要双人复核的字段已定位到私有页列材料,需要双人复核的字段形成A/B复核和一致性结论的私有证据编号和SHA,ready_for_double_review_after_pdf_material,true,018-left,18,left,3,3,1,1,1,双人复核:3,专业计划数:1；再选科目:1；学费:1,pending_double_review:3,G4-双人复核未完成:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,3,0,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,d4161d36dc7d0ca9dc80c4999be78976db3731cfccdb3070f0484b82642bd881,74e8874d3f2a17834b897d3f93fb31474825f9d706894399801cc430a3873cfd,对需要双人复核的字段安排A/B复核；准出仍依赖PDF原页和湖北官方侧证据。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-bd78ba239f53d45b,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,12,W1,双人复核,冲突字段双人复核,需要双人复核的字段已定位到私有页列材料,需要双人复核的字段形成A/B复核和一致性结论的私有证据编号和SHA,ready_for_double_review_after_pdf_material,true,037-left,37,left,3,3,1,1,1,双人复核:3,专业计划数:1；再选科目:1；学费:1,pending_double_review:3,G4-双人复核未完成:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,3,0,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,28179179cef736ff693797cab06b1092d3947a70e44ecadd7a46ed471eeed666,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,对需要双人复核的字段安排A/B复核；准出仍依赖PDF原页和湖北官方侧证据。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-64efd654c6faef9d,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,13,W1,双人复核,冲突字段双人复核,需要双人复核的字段已定位到私有页列材料,需要双人复核的字段形成A/B复核和一致性结论的私有证据编号和SHA,ready_for_double_review_after_pdf_material,true,135-left,135,left,21,21,10,10,1,双人复核:21,专业计划数:10；再选科目:1；学费:10,pending_double_review:21,G4-双人复核未完成:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,21,0,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,6f26af18d5c065fe4ff54dedd906f3467250018b7b267b03ff52d322281ffb87,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,对需要双人复核的字段安排A/B复核；准出仍依赖PDF原页和湖北官方侧证据。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-a0dc1b34d641e9a2,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,14,W1,双人复核,冲突字段双人复核,需要双人复核的字段已定位到私有页列材料,需要双人复核的字段形成A/B复核和一致性结论的私有证据编号和SHA,ready_for_double_review_after_pdf_material,true,137-right,137,right,3,3,1,1,1,双人复核:3,专业计划数:1；再选科目:1；学费:1,pending_double_review:3,G4-双人复核未完成:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,3,0,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,13aca4c963804999fca56726e03b9e61d0279b38618ac5d3142f3576f598a394,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,对需要双人复核的字段安排A/B复核；准出仍依赖PDF原页和湖北官方侧证据。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-612f5d4dc138a129,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,15,W1,双人复核,冲突字段双人复核,需要双人复核的字段已定位到私有页列材料,需要双人复核的字段形成A/B复核和一致性结论的私有证据编号和SHA,ready_for_double_review_after_pdf_material,true,169-right,169,right,2,2,1,1,1,双人复核:2,专业计划数:1；学费:1,pending_double_review:2,G4-双人复核未完成:2,P0-含双人复核缺口页列:2,R0-冲突字段双人核页优先:2,2,0,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,956e2293b4aba46f36415dc142e1fdaa8f91bd94dd074a7d42b2daf48dfe977a,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,对需要双人复核的字段安排A/B复核；准出仍依赖PDF原页和湖北官方侧证据。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-7bc14fd730d05c47,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,16,W1,双人复核,冲突字段双人复核,需要双人复核的字段已定位到私有页列材料,需要双人复核的字段形成A/B复核和一致性结论的私有证据编号和SHA,ready_for_double_review_after_pdf_material,true,199-left,199,left,9,9,3,3,1,双人复核:9,专业计划数:3；再选科目:3；学费:3,pending_double_review:9,G4-双人复核未完成:9,P0-含双人复核缺口页列:9,R0-冲突字段双人核页优先:9,9,0,G0FIELD-PRIVATE-PAGE-199-left,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,FIRST-CLOSURE-REVIEW-HTML-199-left,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,808e90cad66a677d855fe85fe1b4fd69dd49b48fe7ca0cc9d0e51f39de32f09d,536c2a0d5467df7881cc9da9ad82237ece462a3346d73bab24d327ec884548e1,对需要双人复核的字段安排A/B复核；准出仍依赖PDF原页和湖北官方侧证据。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-72e25a8fb69fd0d9,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,17,W1,双人复核,冲突字段双人复核,需要双人复核的字段已定位到私有页列材料,需要双人复核的字段形成A/B复核和一致性结论的私有证据编号和SHA,ready_for_double_review_after_pdf_material,true,209-right,209,right,6,6,2,2,1,双人复核:6,专业计划数:2；再选科目:2；学费:2,pending_double_review:6,G4-双人复核未完成:6,P0-含双人复核缺口页列:6,R0-冲突字段双人核页优先:6,6,0,G0FIELD-PRIVATE-PAGE-209-right,e65eaa808feab67cf1ce973f5c6383a08e556864136dc81731dc8a46a01ff8f3,FIRST-CLOSURE-REVIEW-HTML-209-right,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,858bb74802a7e6eb2ec221ee49dd980fb17741ce4f1be6853f65e1318bc27366,aaebd1e169576dd03ac4091bc37f13d4a4eed93404a51c99604c37fa716e37fc,对需要双人复核的字段安排A/B复核；准出仍依赖PDF原页和湖北官方侧证据。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-80bac535150c8ece,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,18,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,018-left,18,left,24,12,4,4,1,三方一致性闭环:12；冲突处理:12,专业计划数:8；再选科目:8；学费:8,blocked_missing_pdf:12；pending_conflict_resolution:12,G3-冲突未处理:12；G5-三方一致性未闭环:12,P0-含双人复核缺口页列:24,R0-冲突字段双人核页优先:24,0,24,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,07428cab1fa01ec6c47cc170430c6d5f1108ead69a860e418daf670b85da193c,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-17a554707704e222,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,19,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,037-left,37,left,6,3,1,1,1,三方一致性闭环:3；冲突处理:3,专业计划数:2；再选科目:2；学费:2,blocked_missing_pdf:3；pending_conflict_resolution:3,G3-冲突未处理:3；G5-三方一致性未闭环:3,P0-含双人复核缺口页列:6,R0-冲突字段双人核页优先:6,0,6,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,3e0c199579d8c21a0c4bcec5ebeedc26663b0e461391bb7ae24e7904370a18fb,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-c841ce36abdb62c3,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,20,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,056-left,56,left,6,3,1,1,1,三方一致性闭环:3；冲突处理:3,专业计划数:2；再选科目:2；学费:2,blocked_missing_pdf:3；pending_conflict_resolution:3,G3-冲突未处理:3；G5-三方一致性未闭环:3,P2-常规冲突字段页列:6,R1-冲突字段单人初核后抽检复核:6,0,6,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,52486c2fac45e068bce514adbf38e836f9412e55bef5aeedc0b4e323c59c5f5b,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-efc6fec636d4dd26,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,21,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,135-left,135,left,42,21,10,10,1,三方一致性闭环:21；冲突处理:21,专业计划数:20；再选科目:2；学费:20,blocked_missing_pdf:21；pending_conflict_resolution:21,G3-冲突未处理:21；G5-三方一致性未闭环:21,P0-含双人复核缺口页列:42,R0-冲突字段双人核页优先:42,0,42,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,aa94f731476ee420aeb1a42ba1471f0d5bcb311408aa0f284d31ba23b9692234,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-8433e45bdf235d86,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,22,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,137-right,137,right,6,3,1,1,1,三方一致性闭环:3；冲突处理:3,专业计划数:2；再选科目:2；学费:2,blocked_missing_pdf:3；pending_conflict_resolution:3,G3-冲突未处理:3；G5-三方一致性未闭环:3,P0-含双人复核缺口页列:6,R0-冲突字段双人核页优先:6,0,6,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,4fad556111a58693ea0d74a799cd511b61bec82a7d14e168ffc23d9f45f5bd7e,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-e73bfacca0eee5a4,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,23,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,169-right,169,right,4,2,1,1,1,三方一致性闭环:2；冲突处理:2,专业计划数:2；学费:2,blocked_missing_pdf:2；pending_conflict_resolution:2,G3-冲突未处理:2；G5-三方一致性未闭环:2,P0-含双人复核缺口页列:4,R0-冲突字段双人核页优先:4,0,4,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,f1d3de33a205715fbbc0988fbdf418b66e04993b8dd3854d11b93820c384d8d0,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-d2d050a66a9638f8,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,24,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,199-left,199,left,18,9,3,3,1,三方一致性闭环:9；冲突处理:9,专业计划数:6；再选科目:6；学费:6,blocked_missing_pdf:9；pending_conflict_resolution:9,G3-冲突未处理:9；G5-三方一致性未闭环:9,P0-含双人复核缺口页列:18,R0-冲突字段双人核页优先:18,0,18,G0FIELD-PRIVATE-PAGE-199-left,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,FIRST-CLOSURE-REVIEW-HTML-199-left,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,a96de64bd9a64192440fc5efe0bdcd7956b93b50ec30c22746f0ef95f4987977,536c2a0d5467df7881cc9da9ad82237ece462a3346d73bab24d327ec884548e1,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-907438b68c6f759f,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,25,W2,冲突处理与三方闭环,冲突处理/PDF-湖北官方-高校辅证闭环,W0证据采集完成，且必要双人复核已完成,冲突处理和三方一致性闭环形成私有证据编号和SHA,blocked_until_primary_evidence_and_double_review,false,209-right,209,right,12,6,2,2,1,三方一致性闭环:6；冲突处理:6,专业计划数:4；再选科目:4；学费:4,blocked_missing_pdf:6；pending_conflict_resolution:6,G3-冲突未处理:6；G5-三方一致性未闭环:6,P0-含双人复核缺口页列:12,R0-冲突字段双人核页优先:12,0,12,G0FIELD-PRIVATE-PAGE-209-right,e65eaa808feab67cf1ce973f5c6383a08e556864136dc81731dc8a46a01ff8f3,FIRST-CLOSURE-REVIEW-HTML-209-right,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,2ddcb122d9cb8f891b7a7b781bde480da7beea5739a072d0f9d0101d1607749c,aaebd1e169576dd03ac4091bc37f13d4a4eed93404a51c99604c37fa716e37fc,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后处理冲突并做三方闭环。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
