招生明细主表行ID,主表粒度,是否真实招生明细,是否0明细占位,来源页码,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,专业偏好方向,专业风险类型,机器专业接受度初判,调剂影响初判,官网来源状态,官网证据匹配状态,官网证据覆盖结论,最佳官网来源文件,最佳官网专业名称,最佳官网计划数,最佳官网专业组,最佳官网专业代号,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,计划数核验状态,保真处理状态,保真说明,仍需核验,可进入最终专业列表,可进入下一阶段
ADM-66f4ee9566b35d1a,逐专业招生明细,true,false,226,B0-历史候选和组号问题优先核页,历史候选,K488,西安医学院,K48804,1,04,英语（外语语种：英语：办学地点：未央校区）,不限,,5000,,语种或单科限制,暂缓判断-特殊限制待核,调剂影响待核,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/xiyi-2026-hubei-physics-normal.json,英语,1,,,5000,无首选科目要求；不提科目要求,contains_after_normalization,85,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-1242ddcf547ee172,逐专业招生明细,true,false,226,B0-历史候选和组号问题优先核页,历史候选,K488,西安医学院,K48805,1,05,预防医学（办学地点：未央校区；学制：五年）,［化学,,6500,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/xiyi-2026-hubei-physics-normal.json,预防医学,2,,,6500,"无首选科目要求；物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-726f7e577f9d0286,逐专业招生明细,false,true,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10702,,,,,,,,0明细组,暂不可判断-无专业明细,不可判断-无专业明细,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,占位行-不是真实招生明细,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-c197c4641772e43f,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,1,05,运动康复,不限,10,5200,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-3c023d9dd4d336f7,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,2,06,应用心理学,不限,6,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-25561714c5be2e35,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,3,07,智能体育工程,不限,8,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-2564a599abf13e90,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,4,08,教育技术学,不限,2,4000,师范类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-1148babfa50ba62a,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,5,09,信息管理与信息系统,不限,12,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-9a9c5be07d48a2d0,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,6,10,体育经济与管理,不限,9,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-ae959f17fab389f9,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,7,11,新闻学,不限,6,5200,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-e2c9976d5b5ac7ce,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10704,1,12,中医骨伤科学（学制：五年）,化学,6,5200,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-b6c95b09a8031fc7,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10704,2,13,康复治疗学,化学,7,5200,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-e71c23f518b45419,逐专业招生明细,true,false,69,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10704,3,14,数据科学与大数据技术,化学,7,4000,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-9b338a4dc221da96,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,1,46,化学工程与工艺,,77,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-0c2e9b8761eda7e3,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,2,47,功能材料,,43,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-3f7585c14fcb6b79,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,3,48,机械类（含机械设计制造及其自动化、智能制造工程专业）,,312,5200,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-1b00bd50584e5af7,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,4,49,食品科学与工程类（含食品科学与工得、食品质量与安全、粮食工程、食品营养与健康专业）,,343,5200,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-2fd1420f2a6c4e4a,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,5,50,康复治疗学,,37,4000,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-588d11bba3854c3c,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,6,51,药学,,70,4000,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-e83fbdf13b2a5fd0,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,7,52,生物技术,,75,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-ab737fd5c447b63e,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,8,53,生物工程类（含生物工程、合成生物学专业）,,74,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-5e60ee45c3c5f858,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,9,54,制药工程,,80,4000,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-ce08a5e82e2851a3,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,10,55,生物信息学,,80,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-7b72247d3743324c,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,11,56,动物科学,,51,3000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-58396bccfea67740,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,12,57,动物药学,,24,3000,,医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-d343c57c0d695c06,逐专业招生明细,true,false,74,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,13,58,水产养殖学,,31,3000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
