G0冲突字段W0W1主动工作包公开账本ID,来源G0冲突字段补证缺口任务公开账本,来源G0冲突字段补证执行波次公开账本,来源G0冲突字段补证执行波次摘要,来源第一闭环核验结果页列汇总,来源第一闭环公开证据地图,来源W0B0高校源字段回接页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,主动工作包序号,执行波次序号,执行波次,证据通道序号,证据通道,证据通道类型,证据通道执行层级,当前执行状态,当前是否可并行执行,页码版面键,来源页码,版面列,缺口任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,当前通道状态分布,当前阻断桶分布,补证执行优先级分布,补证执行泳道分布,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,需要双人复核任务数,PDFOCR提示任务数,机器坐标提示任务数,PDFOCR与高校辅证冲突任务数,高校源结构化接入候选字段数,高校源最新对齐任务数合计,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,来源波次包ID,缺口任务集合SHA256,闭环结果集合SHA256,主动下一步动作,本通道准出条件,公开安全策略
G0W0W1ACTIVE-3805ba1374d96101,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,11,W0,一手证据与辅证采集,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,ready_for_parallel_w0_w1_execution,true,056-left,56,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,school_source_pending:1；school_source_seed_present_pending_manual_review:2,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,16,16,15,3,8,5,1,3,9,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,G0FIELDGAPWAVE-fc4da8e907c3b045,2df2deb58fb69221b4efcda186088082eb72383201c65a35a53aa47fb6c3eefe,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,核高校官网或章程辅证，作为double check线索；不能替代湖北官方计划。,高校辅证人工核验记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-1661034d497fe999,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,12,W0,一手证据与辅证采集,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,ready_for_parallel_w0_w1_execution,true,135-left,135,left,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,pending_pdf_page_review:21,G0-缺PDF原页记录:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,10,10,10,10,10,0,10,0,84,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,G0FIELDGAPWAVE-1c76d5402a193c4b,1e7f896ae15a2261c5ffbfbadb2b05a434c873cd9cdad86f8b6cda28b11a6a7b,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,核PDF原页私有材料并登记私有证据编号和SHA；公开层只保留状态与计数。,PDF原页记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-7441c8a50af7e4da,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,13,W0,一手证据与辅证采集,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,ready_for_parallel_w0_w1_execution,true,135-left,135,left,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,pending_hubei_official_plan_review:21,G1-缺湖北官方记录:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,10,10,10,10,10,0,10,0,84,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,G0FIELDGAPWAVE-1c76d5402a193c4b,681ce69fc728936b515ec7c51270f00e9610ffa9e653043831f5cd3f991a044d,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,优先核湖北官方系统或省招办计划；不可得时继续阻断，不能用高校官网替代。,湖北官方侧记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-d6cbab38818750f1,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,14,W0,一手证据与辅证采集,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,ready_for_parallel_w0_w1_execution,true,135-left,135,left,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,school_source_pending:1；school_source_seed_present_pending_manual_review:20,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:20,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,10,10,10,10,10,0,10,0,84,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,G0FIELDGAPWAVE-1c76d5402a193c4b,b4a6613aa2e50c2b8b658d6241dd1ece6101385b3890449f5f8de51b6533ab96,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,核高校官网或章程辅证，作为double check线索；不能替代湖北官方计划。,高校辅证人工核验记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-8a108a97c8ea05ef,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,15,W1,双人复核,05,双人复核,双人复核,E3-双人复核,ready_for_parallel_w0_w1_execution,true,135-left,135,left,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,pending_double_review:21,G4-双人复核未完成:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,10,10,10,10,10,0,10,0,84,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,G0FIELDGAPWAVE-64efd654c6faef9d,6f26af18d5c065fe4ff54dedd906f3467250018b7b267b03ff52d322281ffb87,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,安排A/B双人复核并记录一致性私有证据；准出仍依赖一手证据闭环。,A/B复核和一致性结论形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-5d8843b86bf7b6ee,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,16,W0,一手证据与辅证采集,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,ready_for_parallel_w0_w1_execution,true,137-right,137,right,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_pdf_page_review:3,G0-缺PDF原页记录:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,1,1,1,1,1,0,1,0,9,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,G0FIELDGAPWAVE-ef785a4f0b04cae6,1cd684e79014e656c07cd8fcccf5aafd8763f94ccf2d9fc9da5c209c3f8fcdf9,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,核PDF原页私有材料并登记私有证据编号和SHA；公开层只保留状态与计数。,PDF原页记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-39052975359422a8,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,17,W0,一手证据与辅证采集,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,ready_for_parallel_w0_w1_execution,true,137-right,137,right,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,1,1,1,1,1,0,1,0,9,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,G0FIELDGAPWAVE-ef785a4f0b04cae6,954b9e999107cf4f491b38702506265c409db8ef795f3426a3fa043e96fd5b00,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,优先核湖北官方系统或省招办计划；不可得时继续阻断，不能用高校官网替代。,湖北官方侧记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-79e9bf6d2a1e046e,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,18,W0,一手证据与辅证采集,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,ready_for_parallel_w0_w1_execution,true,137-right,137,right,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,school_source_pending:2；school_source_seed_present_pending_manual_review:1,G2a-缺高校辅证线索:2；G2b-高校辅证种子待人工核验:1,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,1,1,1,1,1,0,1,0,9,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,G0FIELDGAPWAVE-ef785a4f0b04cae6,d5b2bc0bb025640b37c7f02798554de09f9e69f0835df796021afaad1e01195b,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,核高校官网或章程辅证，作为double check线索；不能替代湖北官方计划。,高校辅证人工核验记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-5d88cdbde60cf8e6,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,19,W1,双人复核,05,双人复核,双人复核,E3-双人复核,ready_for_parallel_w0_w1_execution,true,137-right,137,right,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_double_review:3,G4-双人复核未完成:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,1,1,1,1,1,0,1,0,9,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,G0FIELDGAPWAVE-a0dc1b34d641e9a2,13aca4c963804999fca56726e03b9e61d0279b38618ac5d3142f3576f598a394,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,安排A/B双人复核并记录一致性私有证据；准出仍依赖一手证据闭环。,A/B复核和一致性结论形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-9433463dd45adce7,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,20,W0,一手证据与辅证采集,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,ready_for_parallel_w0_w1_execution,true,169-right,169,right,2,2,1,1,1,专业计划数:1；学费:1,pending_pdf_page_review:2,G0-缺PDF原页记录:2,P0-含双人复核缺口页列:2,R0-冲突字段双人核页优先:2,22,22,22,10,12,0,1,2,10,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,G0FIELDGAPWAVE-bfc36faee65877d7,894f6009c29d7e2afa7e6a941b80b0855a8cb782b68780b189b752f8ee059501,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,核PDF原页私有材料并登记私有证据编号和SHA；公开层只保留状态与计数。,PDF原页记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-51446b2f1591a466,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,21,W0,一手证据与辅证采集,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,ready_for_parallel_w0_w1_execution,true,169-right,169,right,2,2,1,1,1,专业计划数:1；学费:1,pending_hubei_official_plan_review:2,G1-缺湖北官方记录:2,P0-含双人复核缺口页列:2,R0-冲突字段双人核页优先:2,22,22,22,10,12,0,1,2,10,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,G0FIELDGAPWAVE-bfc36faee65877d7,2dde23b561185619ed92b6e0786414b7352ffa62c9ad655c82ac1f955b1c9362,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,优先核湖北官方系统或省招办计划；不可得时继续阻断，不能用高校官网替代。,湖北官方侧记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-ce51cd9eeb61b9c0,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,22,W0,一手证据与辅证采集,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,ready_for_parallel_w0_w1_execution,true,169-right,169,right,2,2,1,1,1,专业计划数:1；学费:1,school_source_pending:1；school_source_seed_present_pending_manual_review:1,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:1,P0-含双人复核缺口页列:2,R0-冲突字段双人核页优先:2,22,22,22,10,12,0,1,2,10,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,G0FIELDGAPWAVE-bfc36faee65877d7,9d4862fdd5b8a33e5e5d967b853c2eb0b18e19f105cfa87fea8d4e9f5b7fc865,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,核高校官网或章程辅证，作为double check线索；不能替代湖北官方计划。,高校辅证人工核验记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-80c5597298e94ba9,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,23,W1,双人复核,05,双人复核,双人复核,E3-双人复核,ready_for_parallel_w0_w1_execution,true,169-right,169,right,2,2,1,1,1,专业计划数:1；学费:1,pending_double_review:2,G4-双人复核未完成:2,P0-含双人复核缺口页列:2,R0-冲突字段双人核页优先:2,22,22,22,10,12,0,1,2,10,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,G0FIELDGAPWAVE-612f5d4dc138a129,956e2293b4aba46f36415dc142e1fdaa8f91bd94dd074a7d42b2daf48dfe977a,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,安排A/B双人复核并记录一致性私有证据；准出仍依赖一手证据闭环。,A/B复核和一致性结论形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-1223c55aea90ae6f,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,24,W0,一手证据与辅证采集,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,ready_for_parallel_w0_w1_execution,true,199-left,199,left,9,9,3,3,1,专业计划数:3；再选科目:3；学费:3,pending_pdf_page_review:9,G0-缺PDF原页记录:9,P0-含双人复核缺口页列:9,R0-冲突字段双人核页优先:9,5,5,5,4,4,1,3,0,36,G0FIELD-PRIVATE-PAGE-199-left,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,FIRST-CLOSURE-REVIEW-HTML-199-left,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,G0FIELDGAPWAVE-8195249d100a2488,4a807c7436d83294ab40b5242df6060e50cc67742a402d585629046f5130a9da,536c2a0d5467df7881cc9da9ad82237ece462a3346d73bab24d327ec884548e1,核PDF原页私有材料并登记私有证据编号和SHA；公开层只保留状态与计数。,PDF原页记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
